headline,date,doc_type,material_type,section,keywords
"On ‘S.N.L.’, John Mulaney and Jake Gyllenhaal Find Humor in the Coronavirus",2020-03-01,article,News,,['Television']
‘Forget About It!’,2020-03-01,article,News,,['Crossword Puzzles']
"What Comes Next, Joe Biden?",2020-03-01,article,Op-Ed,,"['Presidential Election of 2020', 'Primaries and Caucuses']"
"Coronavirus, India Violence, South Carolina Primary: Your Monday Briefing",2020-03-01,article,briefing,,[]
"Feeling Robbed, the Dodgers Are ‘Working Angry’",2020-03-02,article,News,,"['Baseball', 'Cheating']"
New York City Had One of Its Least Snowy Winters on Record,2020-03-02,article,News,,"['Snow and Snowstorms', 'Global Warming']"
"A Virus Spreads, Stocks Fall, and Democrats See an Opening to Hit Trump",2020-03-01,article,News,,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020', 'United States Economy', 'Interest Rates', 'Income Inequality', 'United States Politics and Government', 'Epidemics']"
Wall Street Has Lost Its Nerve. What Will It Take to Get It Back?,2020-03-01,article,News,,"['Stocks and Bonds', ""Standard & Poor's 500-Stock Index"", 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'United States Economy']"
Extend a Nuclear Arms Treaty,2020-03-01,article,Letter,,"['Strategic Arms Reduction Treaty', 'United States International Relations', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT']"
Sungjae Im Gets First PGA Tour Win at Honda Classic,2020-03-01,article,News,,['Golf']
Trump’s High Court Hears Its First Abortion Case,2020-03-02,article,Editorial,,"['Law and Legislation', 'ABORTION', 'Roe v Wade (Supreme Court Decision)', 'Birth Control and Family Planning']"
Bernie Sanders Can’t Count on New Voters,2020-03-03,article,Op-Ed,,"['Voting and Voters', 'AGE, CHRONOLOGICAL', 'Presidential Election of 2020', 'Primaries and Caucuses', 'Liberalism (US Politics)', 'United States Politics and Government', 'Youth', 'Polls and Public Opinion']"
"Italy, Europe’s Coronavirus Lab",2020-03-02,article,Op-Ed,,"['Coronavirus (2019-nCoV)', 'Travel Warnings', 'Epidemics', 'Travel and Vacations', 'Social Media', 'Tests (Medical)']"
"Most Adults Should be Screened for Hepatitis C, New U.S. Guidelines Urge",2020-03-02,article,News,,"['Hepatitis', 'Preventive Medicine', 'Liver', 'Drug Abuse and Traffic', 'Tests (Medical)']"
