headline,date,doc_type,material_type,section,keywords
"Great Barrier Reef Threatened by Climate Change, Chemicals and Sediment",2016-12-01,article,News,,"['Water Pollution', 'Coral', 'Reefs', 'Mines and Mining', 'Global Warming']"
"Dr. Burton J. Lee, 86, Reagan AIDS Panelist and Bush’s White House Physician, Dies",2016-12-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Doctors', 'United States Politics and Government']"
"Katie Holmes Talks About Directing, Motherhood and Mistakes",2016-12-02,article,News,,"['Movies', 'ACTORS AND ACTRESSES']"
Paperback Row,2016-12-02,article,List,,['Books and Literature']
"Egypt and Turkey Soften Positions on Syria, Benefiting Assad",2016-12-03,article,News,,['United States International Relations']
"Honoring Elie Wiesel, a Holocaust Witness Who Kept a Memory Alive",2016-12-02,article,News,,"['Holocaust and the Nazi Era', 'Books and Literature', 'Funerals and Memorials']"
"Black Male Glamour, as Style and Substance",2016-12-01,article,News,,"['ACTORS AND ACTRESSES', 'Blacks', 'Black People', 'Discrimination']"
What Republicans Should Know About the A.C.A.,2016-12-01,article,Editorial,,"['Law and Legislation', 'Patient Protection and Affordable Care Act (2010)', 'Health Insurance and Managed Care', 'United States Politics and Government', 'Fines (Penalties)']"
Magic Shoes,2016-12-02,article,News,,['Shoes and Boots']
Nico Rosberg Retires Days After Winning Formula One Title,2016-12-02,article,News,,['Automobile Racing']
He Works Day and Night for the Nets. And the Other Nets.,2016-12-01,article,News,,['Basketball']
"Irving Fradkin, Founder of Dollars for Scholars Program, Dies at 95",2016-12-02,article,Obituary (Obit),,"['Philanthropy', 'Scholarships and Fellowships', 'Deaths (Obituaries)']"
Spare Times for Children Listings for Dec. 2-8,2016-12-02,article,Schedule,,['Children and Childhood']
Anne Rice Finds Inspiration Amid Taxidermied Animals,2016-12-02,article,News,,"['Books and Literature', 'Writing and Writers', 'Vampires']"
400 Years of Jerusalem Culture,2016-12-02,article,Review,,['Books and Literature']
Where Refugees Can Come Home,2016-12-03,article,Op-Ed,,"['Refugees and Displaced Persons', 'Middle East and Africa Migrant Crisis']"
‘I’m Not Celebrating the Death of a Human Being’,2016-12-03,article,News,,[]
Quotation of the Day,2016-12-01,article,Quote,,[]
Fantasy Football: Players to Start in Week 13,2016-12-01,article,News,,"['Football', 'Fantasy Sports']"
From Somalia to U.S.: Ohio State Attacker’s Path to Violence,2016-12-02,article,News,,"['Muslims and Islam', 'Colleges and Universities', 'Murders, Attempted Murders and Homicides', 'School Shootings and Armed Attacks']"
How to Win a Senate Race,2016-12-03,article,Op-Ed,,"['Elections, Senate']"
Five Places to Shop in Tokyo,2016-12-01,article,News,,['Travel and Vacations']
Conor McGregor Gets a Boxing License. Let the Speculation Begin.,2016-12-01,article,News,,"['Boxing', 'Mixed Martial Arts']"
"James Mattis, François Hollande, Art Basel: Your Friday Briefing",2016-12-02,article,briefing,,[]
Appalachia’s Losses,2016-12-02,article,Letter,,['Wildfires']
"Mayor de Blasio’s Trips by Police Helicopter Rise Sharply, Records Show",2016-12-01,article,News,,"['Helicopters', 'Mayors']"
Can You Regain Muscle Mass After Age 60?,2016-12-02,article,News,,"['Age, Chronological', 'Elderly', 'Exercise', 'Muscles']"
Questions for: ‘Why Bilinguals Are Smarter’,2016-12-01,article,News,,[]
What’s on TV Friday: Alicia Keys and Maren Morris on ‘CMT Crossroads’,2016-12-02,article,Schedule,,"['Television', 'Movies']"
Pageant Glamour for Those Who Have Reached the Age of Elegance,2016-12-02,article,News,,"['Beauty Contests', 'Elderly', 'Retirement']"
"With Presidency in Play, Can France Embrace Economic Change?",2016-12-02,article,News,,"['Elections', 'Politics and Government']"
Diving Into Movie Palaces of the Mind at the Whitney,2016-12-01,article,Review,,"['Art', 'Movies']"
Trump Sealed Carrier Deal With Mix of Threat and Incentive,2016-12-01,article,News,,"['Factories and Manufacturing', 'Labor and Jobs', 'Corporate Taxes', 'Layoffs and Job Reductions', 'Presidential Election of 2016', 'United States Economy', 'United States Politics and Government']"
Review: ‘Man Down’ Looks at Combat Trauma Through a Marine’s Eyes,2016-12-01,article,Review,,['Movies']
Succession Questions Rise at Goldman Sachs,2016-12-01,article,News,,"['Appointments and Executive Changes', 'Banking and Financial Institutions']"
"Immune System, Unleashed by Cancer Therapies, Can Attack Organs",2016-12-03,article,News,,"['Cancer', 'Immunotherapy', 'Immune System', 'Drugs (Pharmaceuticals)', 'Melanomas', 'Clinical Trials', 'Series']"
Forget the Tie. Give a Gift That Matters.,2016-12-01,article,Op-Ed,,"['War Crimes, Genocide and Crimes Against Humanity', 'Birth Control and Family Planning', 'Poverty', 'Philanthropy', 'Christmas']"
"In Italy, a Sleeper Crisis for the E.U.",2016-12-02,article,Op-Ed,,"['European Sovereign Debt Crisis (2010- )', 'Euro (Currency)', 'Great Britain Withdrawal from EU (Brexit)']"
Beautiful Coffee Table Books (as Holiday Gifts),2016-12-02,article,News,,"['Art', 'Fashion and Apparel', 'Gifts', 'Books and Literature']"
Supreme Court to Hear Printer Cartridge Patent Case,2016-12-02,article,News,,"['Inventions and Patents', 'Computer Printers']"
CBS Adds N.F.L. Games to Streaming App,2016-12-01,article,News,,"['Television', 'Video Recordings, Downloads and Streaming', 'Cable Television', 'Football']"
"Peng Chang-kuei, Chef Behind General Tso’s Chicken, Dies at 98",2016-12-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Cooking and Cookbooks', 'Chefs', 'Restaurants', 'Chinese Food (Cuisine)']"
"Trump Kicks Off ‘Thank You’ Tour, Reveling in Crowd and Campaign Themes",2016-12-02,article,News,,"['Stadiums and Arenas', 'United States Politics and Government']"
