headline,date,doc_type,material_type,section,keywords
Debate Over Privacy Finds Little Agreement,2016-03-02,article,News,,"['Privacy', 'Computer Security']"
"Alice Arlen, Screenwriter and Collaborator With Nora Ephron, Dies at 75",2016-03-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Movies']"
Greenpoint’s Culinary Ghosts,2016-03-03,article,News,,"['Cooking and Cookbooks', 'Sausages', 'Recipes']"
Review: Christine Andreas’s Nostalgic Turn in ‘Cafe Society’,2016-03-01,article,News,,['Music']
Ambac Financial Gets Pressed to Make a Move,2016-03-03,article,News,,"['Stocks and Bonds', 'Conflicts of Interest']"
‘Donald Drumpf’ Is Beating Rubio and Cruz for Second in Google Searches,2016-03-01,article,News,,['Presidential Election of 2016']
Review: A Family Full of Secrets in ‘The Real O’Neals’,2016-03-01,article,Review,,['Television']
Evictions Are Down by 18%; New York City Cites Increased Legal Services,2016-03-01,article,News,,"['Evictions', 'Real Estate and Housing (Residential)', 'Homeless Persons', 'Landlords', 'Rent Control and Stabilization', 'Renting and Leasing (Real Estate)']"
Debris in Mozambique Is Thought to Come From Malaysia Airlines Plane,2016-03-02,article,News,,"['Aviation Accidents, Safety and Disasters', 'Malaysia Airlines Flight 370']"
" As Air Worsens, New Delhi Turns to Masks. The Flashier the Better.",2016-03-02,article,News,,"['AIR POLLUTION', 'Protective Clothing and Gear', 'Masks']"
Consult the Senate on a Court Nominee,2016-03-02,article,Letter,,[]
"The Party of Trump, and the Path Forward for Democrats",2016-03-02,article,Editorial,,"['Editorials', 'Polls and Public Opinion', 'Presidential Election of 2016']"
What to Watch Thursday,2016-03-03,article,Schedule,,"['Television', 'Web-Original Programming', 'Movies']"
Germany to Continue Funding to Establish Provenance of Looted Art,2016-03-03,article,News,,['Arts and Antiquities Looting']
New Critique Sees Flaws in Landmark Analysis of Psychology Studies,2016-03-03,article,News,,"['Psychology and Psychologists', 'Research', 'Academic and Scientific Journals']"
"Super Tuesday Takeaways: Trump and Clinton Sprint, While Others Stumble",2016-03-02,article,News,,"['Presidential Election of 2016', 'Primaries and Caucuses']"
Judges Seem Skeptical of Tom Brady’s Deflategate Claims,2016-03-03,article,News,,"['Football', 'Cheating']"
Is Worry Worthwhile in Confronting Climate Change?,2016-03-03,article,News,,"['Global Warming', 'Greenhouse Gas Emissions', 'News and News Media', 'Stroke', 'Sustainable Living', 'Threats and Threatening Messages']"
"Review: In ‘Knight of Cups,’ a Writer’s Flesh Is Willing but His Spirit Is Weak",2016-03-03,article,Review,,['Movies']
"Elton John and Katy Perry Sing Hillary Clinton’s Praises, Unconditionally",2016-03-03,article,News,,"['Campaign Finance', 'Music', 'Presidential Election of 2016']"
‘Never Trump’ Movement Dealt Setback After Super Tuesday,2016-03-02,article,News,,"['Presidential Election of 2016', 'Political Advertising', 'Political Action Committees', 'Primaries and Caucuses', 'Republican National Convention']"
What to Expect at Paris Fashion Week: Day 3,2016-03-03,article,News,,"['Paris Fashion Week', 'Fashion and Apparel']"
What Wouldn’t Jesus Do?,2016-03-01,article,Op-Ed,,"['Presidential Election of 2016', 'Evangelical Movement', 'Primaries and Caucuses', 'ABORTION']"
Big-Donor Money Has Not Worked in the 2016 Campaign. Yet.,2016-03-01,article,Editorial,,"['Editorials', 'Presidential Election of 2016', 'Political Action Committees', 'Primaries and Caucuses', 'Campaign Finance']"
Women’s Abortion Stories,2016-03-02,article,Letter,,['ABORTION']
Pathos of the Reformocons,2016-03-01,article,News,,[]
A Week in Milan with Fashion’s Most In-Demand Hairstylist,2016-03-02,article,News,,"['Fashion and Apparel', 'Milan Fashion Week']"
Review: ‘Rimbaud in New York’ Splices the Genes of the Original Outlaw Artist,2016-03-03,article,Review,,"['Theater', 'Poetry and Poets']"
Gawker and Union Reach Agreement on Contract,2016-03-01,article,News,,"['Organized Labor', 'Labor and Jobs']"
"Review: In ‘The Family,’ a Lost Son Might Be Back From Limbo",2016-03-02,article,Review,,['Television']
Brazilian Judge Releases Facebook Executive,2016-03-02,article,News,,[]
Obama’s Long Game for Cubans’ Rights,2016-03-02,article,Op-Ed,,"['Human Rights and Human Rights Violations', 'United States International Relations']"
Supreme Court Looks at Recusals in Capital Trials,2016-03-01,article,News,,"['Capital Punishment', 'Conflicts of Interest', 'Ethics and Official Misconduct']"
U.S. Proposes Reviving Naval Coalition to Balance China’s Expansion,2016-03-02,article,News,,"['United States International Relations', 'Defense and Military Forces', 'United States Defense and Military Forces']"
Which Writer’s Journals Are Worth Reading?,2016-03-02,article,News,,"['Books and Literature', 'Diaries', 'Writing and Writers']"
"Sarah Paulson Opens Up About Acting, Marcia Clark and Dating Older Women",2016-03-02,article,News,,"['Television', 'ACTORS AND ACTRESSES']"
Paring Toes for Fashion,2016-03-03,article,Brief,,"['Poetry and Poets', 'Shoes and Boots']"
A Gay Couple’s Exclusion Is an Occasion to Talk,2016-03-03,article,News,,"['Customs, Etiquette and Manners', 'Same-Sex Marriage, Civil Unions and Domestic Partnerships', 'Weddings and Engagements']"
"Corrections: March 2, 2016",2016-03-02,article,News,,[]
Negative-Yield Bonds for the Nimble Investor,2016-03-01,article,News,,['Government Bonds']
Indonesians Flock to Restaurant Where Woman Was Poisoned,2016-03-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Restaurants', 'Poisoning and Poisons', 'Coffee']"
Donald Trump’s Message Resonates With White Supremacists,2016-03-01,article,News,,"['Presidential Election of 2016', 'Fringe Groups and Movements']"
Santiago Calatrava’s Transit Hub Is a Soaring Symbol of a Boondoggle,2016-03-02,article,Review,,"['ARCHITECTURE', 'World Trade Center (Manhattan, NY)', 'Transit Systems', 'Stations and Terminals (Passenger)']"
"In Anna Ziegler’s ‘Boy,’ an Ambiguous Gender Is Explored Onstage",2016-03-02,article,News,,['Theater']
"Review: In ‘London Has Fallen,’ the President Must Be Saved From Terrorists",2016-03-03,article,Review,,['Movies']
Jets Assign Franchise Tag to Muhammad Wilkerson and Raise Season-Ticket Prices,2016-03-02,article,News,,"['Football', 'Prices (Fares, Fees and Rates)', 'Free Agents (Sports)', 'Wages and Salaries']"
News Q’s | Scott Kelly’s Year in Space,2016-03-01,article,News,,[]
1941: Nazis Gather on Greek Frontier,2016-03-03,article,News,,['World War II (1939-45)']
Goldman Executive Hired by TPG for Industrial Acquisitions,2016-03-03,article,News,,['Appointments and Executive Changes']
Democrats Turn to Hillary Clinton After Flirting With Bernie Sanders,2016-03-02,article,News,,"['Presidential Election of 2016', 'Primaries and Caucuses']"
Jonathan Kellerman: By the Book,2016-03-03,article,Question,,"['Books and Literature', 'Writing and Writers']"
"Ridgewood, Queens, an Affordable Alternative",2016-03-02,article,News,,['Real Estate and Housing (Residential)']
Minority Voters Push Hillary Clinton to Victories,2016-03-02,article,News,,"['Presidential Election of 2016', 'Primaries and Caucuses', 'Minorities', 'Blacks', 'Black People', 'Hispanic-Americans']"
Mayor de Blasio Shares Stage With Hillary Clinton in More Prominent Role,2016-03-03,article,News,,['Presidential Election of 2016']
Jail Injury Claims Against New York City Surge,2016-03-03,article,News,,"['Prisons and Prisoners', 'Assaults']"
Winners of Pictures of the Year International,2016-03-01,article,News,,"['Awards, Decorations and Honors', 'Photography']"
Major League Baseball Wants to Let Cuban Players Sign Directly With Teams,2016-03-02,article,News,,"['Baseball', 'Defectors (Political)', 'Embargoes and Sanctions', 'United States International Relations']"
Utilities Cautioned About Potential for a Cyberattack,2016-03-01,article,News,,"['Cyberwarfare and Defense', 'Power Failures and Blackouts', 'Cyberattacks and Hackers']"
"Corrections: March 1, 2016",2016-03-01,article,News,,[]
"Jailed Afghan Women Are Often Subjected to Virginity Tests, Report Says",2016-03-01,article,News,,"['Women and Girls', 'Sex', ""Women's Rights"", 'Human Rights and Human Rights Violations', 'Forensic Science']"
Rays to Play Cuban National Team in Havana,2016-03-01,article,News,,['Baseball']
Review: Frequency Festival in Chicago Offers the Complicated and Compelling,2016-03-02,article,News,,['Music']
"Vienna Philharmonic, Led by Valery Gergiev, Offers Old and New at Carnegie Hall",2016-03-01,article,News,,"['Classical Music', 'Music']"
"Auto Sales Up in February, Helped by Cheap Gas and Easy Credit",2016-03-01,article,News,,['Automobiles']
G.O.P. Foreign Policy Figures Denounce Donald Trump’s Worldview,2016-03-03,article,News,,"['United States International Relations', 'Presidential Election of 2016', 'United States Politics and Government', 'United States Defense and Military Forces']"
Why Can’t the G.O.P. Stop Trump?,2016-03-01,article,Op-Ed,,"['Presidential Election of 2016', 'Primaries and Caucuses', 'Polls and Public Opinion', 'Political Action Committees', 'Presidential Election of 2004', 'Presidential Election of 2008', 'Endorsements', 'United States Politics and Government']"
Kelly Rowland at Chloé,2016-03-03,article,News,,['Paris Fashion Week']
"John Kasich Looks to Next Contests, After Not Winning Any on Super Tuesday",2016-03-02,article,News,,['Presidential Election of 2016']
Paul Ryan and Mitch McConnell Say No to Klan (but Maybe to Donald Trump),2016-03-01,article,News,,['Presidential Election of 2016']
"Review: In ‘Cemetery of Splendour,’ a Nod to Dream Logic",2016-03-03,article,Review,,['Movies']
"Songwriters Hall of Fame to Honor Marvin Gaye, Elvis Costello and Tom Petty",2016-03-02,article,News,,['Music']
