headline,date,doc_type,material_type,section,keywords
Seven States to Coordinate on Amassing Medical Equipment to Fight Coronavirus,2020-05-03,article,News,,['Coronavirus (2019-nCoV)']
The Courage to Be Alone,2020-05-01,article,Op-Ed,,"['Philosophy', 'Children and Childhood', 'Parenting', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)']"
Tennis Coming Back Slowly With Exhibition Matches,2020-05-01,article,News,,"['Tennis', 'Shutdowns (Institutional)', 'Coronavirus (2019-nCoV)']"
The Best Part of the Campaign Trail (the Food!) Comes Home,2020-05-01,article,News,,"['Delivery Services', 'Restaurants', 'Quarantine (Life and Culture)', 'Food']"
"Go Ahead, Blow Out the Candles on Zoom",2020-05-02,article,News,,"['Birthdays', 'Parties (Social)', 'Videophones and Videoconferencing', 'Quarantine (Life and Culture)']"
"In Philanthropy, Race Is Still a Factor in Who Gets What, Study Shows",2020-05-01,article,News,,"['Race and Ethnicity', 'Philanthropy', 'Nonprofit Organizations']"
"Introducing Rhubarb Bars, Lemon Bars’ Pinker Cousins",2020-05-01,article,News,,"['Cooking and Cookbooks', 'Rhubarb', 'Cookies', 'Spring (Season)']"
Kim Jong-un Is Back. What Happens When He’s Really Gone?,2020-05-02,article,News,,"['Nuclear Weapons', 'Defense and Military Forces', 'Politics and Government', 'Rumors and Misinformation', 'United States International Relations', 'Coronavirus (2019-nCoV)']"
Pride at the Plate for a Little League All-Star,2020-05-01,article,Review,,['Books and Literature']
Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,2020-05-01,article,News,,"['Genetics and Heredity', 'Coronavirus (2019-nCoV)', 'Medicine and Health', 'Research', 'Epidemics', 'Vaccination and Immunization', 'Laboratories and Scientific Equipment']"
The Business of Burps: Scientists Smell Profit in Cow Emissions,2020-05-01,article,News,,"['Cattle', 'Methane', 'Research', 'Greenhouse Gas Emissions', 'Global Warming']"
How ‘All Day and a Night’ Dazzles With a Street Scene,2020-05-01,article,News,,['Movies']
‘All Day and a Night’ | Anatomy of a Scene,2020-05-01,multimedia,Video,,['Movies']
A Matter of Taste,2020-05-01,article,News,,['Soccer']
Can Street Artists Survive a City in Lockdown?,2020-05-01,article,News,,"['Graffiti', 'Street Performers', 'Art', 'Music']"
Quotation of the Day: Risky New Phase Brings Discord and Unease,2020-05-02,article,Quote,,[]
Doctor Who Promoted Malarial Drug Draws Scrutiny of Federal Prosectors,2020-05-01,article,News,,"['Coronavirus (2019-nCoV)', 'Hydroxychloroquine (Drug)', 'AZITHROMYCIN (DRUG)', 'Clinical Trials', 'United States Politics and Government']"
"A Shortage of Steak? Yes, and Ranchers Knew It Was Coming",2020-05-01,article,Op-Ed,,"['Coronavirus (2019-nCoV)', 'ANIMALS', 'Epidemics', 'Grass', 'Cattle', 'Livestock', 'Food', 'Agriculture and Farming', 'Sheep']"
A Pandemic Isn’t a Reason to Abolish the SAT,2020-05-01,article,Op-Ed,,"['Grading of Students', 'Coronavirus (2019-nCoV)', 'SAT (College Admission Test)', 'ACT (Examination)']"
Congress Calls on Jeff Bezos of Amazon to Testify,2020-05-01,article,News,,"['Antitrust Laws and Competition Issues', 'United States Politics and Government', 'Computers and the Internet']"
"No More Jenga, No More ‘Amen’ as Cities Learn to Live With Coronavirus",2020-05-02,article,News,,"['Coronavirus (2019-nCoV)', 'Quarantines', 'Hygiene and Cleanliness', 'Restaurants', 'Churches (Buildings)', 'Education (K-12)', 'Epidemics', 'Social Conditions and Trends']"
"Fearing Political Peril, Republicans Edge Away From Trump on Pandemic Response",2020-05-02,article,News,,"['Coronavirus (2019-nCoV)', 'United States Politics and Government', 'Polls and Public Opinion', 'Voting and Voters']"
The Father I Never Forgave,2020-05-02,article,Op-Ed,,"['Families and Family Life', 'Parenting', 'ALCOHOL ABUSE']"
"A Young Doctor, Fighting for His Life",2020-05-02,article,Op-Ed,,"['Coronavirus (2019-nCoV)', 'Emergency Medical Treatment', 'Doctors', 'Nursing and Nurses', 'Fever', 'Oxygen', 'Immune System', 'Quarantines']"
Joe Says It Ain’t So,2020-05-02,article,Op-Ed,,"['Presidential Election of 2020', 'United States Politics and Government', 'Women and Girls', '#MeToo Movement', 'Sexual Harassment', 'Sex Crimes']"
What Does Modern Love Mean in a Pandemic?,2020-05-02,article,News,,"['Coronavirus (2019-nCoV)', 'Love (Emotion)', 'Dating and Relationships', 'Podcasts', 'Modern Love (Times Column)']"
The Pandemic Isn’t Changing Everything,2020-05-03,article,Op-Ed,,"['Coronavirus (2019-nCoV)', 'International Trade and World Market', 'Subprime Mortgage Crisis', 'Computer and Video Games']"
"Democrats, It’s Time to Consider a Plan B",2020-05-03,article,Op-Ed,,"['Sex Crimes', '#MeToo Movement', 'Presidential Election of 2020', ""Women's Rights"", 'Democratic National Convention']"
‘The Streets Look So Empty’: How a Child Killer Haunted My First Novel,2020-05-01,article,News,,"['Kidnapping and Hostages', 'Murders, Attempted Murders and Homicides', 'Sex Crimes', 'Children and Childhood']"
Find a Vaccine. Next: Produce 300 Million Vials of It.,2020-05-01,article,News,,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Medical Devices', 'Hypodermic Needles and Syringes', 'Medicine and Health', 'Factories and Manufacturing', 'Shortages', 'Epidemics', 'your-feed-healthcare']"
Venezuelan Officials Claim to Have Stopped an Armed Incursion,2020-05-03,article,News,,"[""Coups D'Etat and Attempted Coups D'Etat""]"
Antivaccination Activists Are Growing Force at Virus Protests,2020-05-03,article,News,,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Politics and Government', 'Demonstrations, Protests and Riots', 'State Legislatures']"
"Ronan O’Rahilly, Pioneer of Pirate Radio, Is Dead at 79",2020-05-03,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Radio', 'Pop and Rock Music', 'Nineteen Hundred Sixties']"
"Before Covid-19, Trump Aide Sought to Use Disease to Close Borders",2020-05-03,article,News,,"['Coronavirus (2019-nCoV)', 'Immigration and Emigration', 'Deportation', 'Illegal Immigration', 'United States Politics and Government']"
Colleges Won’t Refund Tuition. Autumn May Force a Reckoning.,2020-05-01,article,News,,"['Colleges and Universities', 'Tuition', 'Coronavirus (2019-nCoV)', 'Rebates and Refunds']"
41 Classic Dishes You Should Master,2020-05-02,article,News,,['Cooking and Cookbooks']
Two Arrested in Killings of Transgender Women in Puerto Rico,2020-05-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Hate Crimes']"
Congress Calls on Jeff Bezos of Amazon to Testify,2020-05-01,article,News,,"['Antitrust Laws and Competition Issues', 'United States Politics and Government', 'Computers and the Internet']"
What Rights Do Pregnant Workers Have in a Pandemic?,2020-05-01,article,News,,"['Workplace Hazards and Violations', 'Pregnancy and Childbirth', 'Discrimination', 'Coronavirus (2019-nCoV)', 'Layoffs and Job Reductions', 'Quarantines', 'Women and Girls', 'Telecommuting']"
Tanzanian Cartoonist Has a Stick for Every Powerful Eye,2020-05-01,article,News,,"['Cartoons and Cartoonists', 'Coronavirus (2019-nCoV)', 'Quarantine (Life and Culture)']"
Stark Symbol of Pandemic in N.Y.: Homeless People Huddled on the Subway,2020-05-02,article,News,,"['Homeless Persons', 'Subways', 'Transit Systems', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Hygiene and Cleanliness']"
Seven States to Coordinate on Amassing Medical Equipment to Fight Coronavirus,2020-05-03,article,News,,['Coronavirus (2019-nCoV)']
"In Philanthropy, Race Is Still a Factor in Who Gets What, Study Shows",2020-05-01,article,News,,"['Race and Ethnicity', 'Philanthropy', 'Nonprofit Organizations']"
"Introducing Rhubarb Bars, Lemon Bars’ Pinker Cousins",2020-05-01,article,News,,"['Cooking and Cookbooks', 'Rhubarb', 'Cookies', 'Spring (Season)']"
The Courage to Be Alone,2020-05-01,article,Op-Ed,,"['Philosophy', 'Children and Childhood', 'Parenting', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)']"
Tennis Coming Back Slowly With Exhibition Matches,2020-05-01,article,News,,"['Tennis', 'Shutdowns (Institutional)', 'Coronavirus (2019-nCoV)']"
The Best Part of the Campaign Trail (the Food!) Comes Home,2020-05-01,article,News,,"['Delivery Services', 'Restaurants', 'Quarantine (Life and Culture)', 'Food']"
Kim Jong-un Is Back. What Happens When He’s Really Gone?,2020-05-02,article,News,,"['Nuclear Weapons', 'Defense and Military Forces', 'Politics and Government', 'Rumors and Misinformation', 'United States International Relations', 'Coronavirus (2019-nCoV)']"
"What’s Going On in This Picture? | May 4, 2020",2020-05-03,article,News,,[]
The Business of Burps: Scientists Smell Profit in Cow Emissions,2020-05-01,article,News,,"['Cattle', 'Methane', 'Research', 'Greenhouse Gas Emissions', 'Global Warming']"
