headline,date,doc_type,material_type,section,keywords
"Bigotry, the Bible and the Lessons of Indiana",2015-04-03,article,Op-Ed,,"['Same-Sex Marriage, Civil Unions and Domestic Partnerships', 'Homosexuality and Bisexuality', 'Christians and Christianity', 'Discrimination']"
"Occupy Wall Street, the Tour",2015-04-02,article,News,,"['Demonstrations, Protests and Riots']"
Rand Paul Has J.C. Watts in His Corner,2015-04-03,article,News,,['Endorsements']
"Review: Lukas Ligeti’s Disparate Interests, on Display at the Stone",2015-04-02,article,News,,['Music']
The Conscience of a Corporation,2015-04-03,article,Op-Ed,,[]
Manhattan Prosecutors Say New York Art Dealer Played Role in Sale of Stolen Artifacts,2015-04-02,article,News,,"['Arts and Antiquities Looting', 'District Attorneys']"
Religious Freedom vs. Discrimination,2015-04-02,article,Letter,,"['Discrimination', 'Homosexuality and Bisexuality', 'Freedom of Religion']"
Arkansas Moves to Revise Legislation as Concerns of Religion and Gay Rights Intensify,2015-04-02,article,News,,"['Same-Sex Marriage, Civil Unions and Domestic Partnerships', 'Homosexuality and Bisexuality', 'Freedom of Religion', 'Discrimination', 'Law and Legislation', 'Religion-State Relations']"
The Grand Waldhaus Hotel,2015-04-03,article,News,,"['Culture (Arts)', 'Historic Buildings and Sites', 'Hotels and Travel Lodgings', 'Travel and Vacations']"
"A Cheapskate’s Cheatsheet to Tbilisi, Georgia",2015-04-01,article,News,,"['Travel and Vacations', 'Budget Travel', 'Skiing', 'Museums', 'ALPINE SKIING']"
No Springtime Renewal in the Job Market,2015-04-03,article,News,,"['Labor and Jobs', 'Oil (Petroleum) and Gasoline', 'Unemployment', 'United States Economy', 'Wages and Salaries']"
One Title Mike Trout Hopes to Shed: Strikeout King ,2015-04-02,article,News,,['Baseball']
Alice Neel: ‘Drawings and Watercolors 1927-1978’,2015-04-02,article,Review,,['Art']
Cuomo Gets Deals on Tenure and Evaluations of Teachers,2015-04-01,article,News,,"['Teachers and School Employees', 'Education (K-12)', 'Performance Evaluations (Labor)', 'Tenure', 'Tests and Examinations', 'Budgets and Budgeting']"
A Limited-Edition Tiffany Timepiece That Honors Its Namesake,2015-04-02,article,News,,[]
Word of the Day | fallible,2015-04-02,article,News,,[]
A Foreign Policy Gamble by Obama at a Moment of Truth,2015-04-03,article,News Analysis,,"['Nuclear Weapons', 'United States International Relations']"
Office Space Is Hard to Find for Silicon Valley Newcomers,2015-04-01,article,News,,"['Entrepreneurship', 'Real Estate (Commercial)', 'Start-ups', 'Relocation of Business', 'Interior Design and Furnishings']"
"Cynthia Lennon, the First Beatles Wife, Dies at 75",2015-04-02,article,Obituary (Obit),,['Deaths (Obituaries)']
