headline,date,doc_type,material_type,section,keywords
"The lead-up was chaotic, but voting has been going pretty smoothly.",2020-11-03,article,News,,[]
A Vegetarian Chef’s Flavor-Packed Quarantine Snack,2020-11-03,article,News,,"['Quarantine (Life and Culture)', 'Cooking and Cookbooks', 'Restaurants', 'Rice', 'Japanese Food (Cuisine)']"
Has the Court Learned Nothing From Bush v. Gore?,2020-11-02,article,Op-Ed,,"['Presidential Election of 2000', 'Presidential Election of 2020', 'United States Politics and Government', 'Constitution (US)', 'Fourteenth Amendment (US Constitution)', 'Voting and Voters']"
A House by Any Other Name,2020-11-03,article,News,,"['Real Estate and Housing (Residential)', 'Names, Geographical', 'Quarantine (Life and Culture)']"
Pastors at the Polls? Meet Ohio’s Election Protection Squad,2020-11-01,article,News,,"['Elections', 'Clergy', 'United States Politics and Government', 'Presidential Election of 2020']"
"Trump defends Texas drivers who surrounded Biden bus, while the president’s supporters block traffic in New York and New Jersey.",2020-11-01,article,News,,[]
"For Some Veteran Stars, NASCAR’s Appeal Is Fading",2020-11-03,article,News,,['Automobile Racing']
"A federal judge denies a bid to throw out more than 127,000 votes in Texas. But most drive-in sites are closed on Election Day.",2020-11-02,article,News,,[]
Vienna Terrorist Attack: What We Know,2020-11-03,article,News,,['Terrorism']
"The Best Movies and TV Shows Coming to Amazon, HBO Max, Hulu and More in November",2020-11-01,article,News,,"['Television', 'Documentary Films and Programs']"
Inside One Brooklyn Restaurant’s Desperate Fight to Survive the Pandemic,2020-11-01,article,News,,"['Restaurants', 'Coronavirus (2019-nCoV)', 'Renting and Leasing (Real Estate)', 'Landlords', 'Bars and Nightclubs', 'Shutdowns (Institutional)']"
New Yorkers Have Had Enough of ‘Donald From Queens’,2020-11-03,article,Op-Ed,,['Presidential Election of 2020']
She’s Moved From the Upper East Side to ‘Cobble Hill’,2020-11-01,article,News,,"['Books and Literature', 'Writing and Writers', 'Television', 'Content Type: Personal Profile']"
"America Is Going Full ‘Mad Max’ for Election Day, Late Night Says",2020-11-03,article,News,,[]
Picturing Yourself with Bob Ross as the ‘Experience’ Opens in Indiana,2020-11-01,article,News,,"['Art', 'Television', 'Historic Buildings and Sites', 'Halloween', 'Public Broadcasting']"
