headline,date,doc_type,material_type,section,keywords
Lost in the Magic of London’s Theaters,2015-12-03,article,News,,"['Theater', 'Travel and Vacations']"
Marina Abramovic and Igor Levit’s Variation on ‘Goldberg’ Will Make the Audience Earn Its Bach,2015-12-02,article,News,,"['Art', 'Music', 'Classical Music']"
Recent Commercial Real Estate Transactions,2015-12-02,article,News,,"['Real Estate and Housing (Residential)', 'Real Estate Brokers', 'Renting and Leasing (Real Estate)']"
Browns Find a New Way to Lose,2015-12-01,article,News,,['Football']
Queen’s University in Canada Gets a Third Rembrandt From Alfred and Isabel Bader,2015-12-01,article,News,,"['Art', 'Collectors and Collections', 'Museums']"
Is There a Doctor in the Marriage?,2015-12-03,article,News,,"['Modern Love (Times Column)', 'Marriages', 'Doctors', 'AIRLINES AND AIRPLANES']"
Kobe Bryant the Bard Earns Mostly Positive Reviews,2015-12-02,article,News,,"['Basketball', 'Poetry and Poets']"
Elusive Stardom and a Nickel,2015-12-03,article,Brief,,"['Nickel', 'Diners (Eating Places)']"
Suspect Who Escaped From Police Custody Is Arrested in Queens,2015-12-03,article,News,,"['Police Brutality, Misconduct and Shootings']"
"As a Deadline Looms, Paul Ryan Finds Himself in a Boehner-Like Spot",2015-12-01,article,News,,"['United States Politics and Government', 'Federal Budget (US)', 'Shutdowns (Institutional)', 'Law and Legislation']"
A Friendship Rocked,2015-12-03,article,News,,"['Customs, Etiquette and Manners', 'Gifts', 'Friendship', 'Jewels and Jewelry', 'Security and Warning Systems']"
"Rudolph Giuliani Cites 9/11 Celebrations, but Disputes Donald Trump",2015-12-01,article,News,,"['Muslim Americans', 'Presidential Election of 2016', 'September 11 (2001)']"
Broadway’s ‘Les Misérables’ Will Close Next September,2015-12-02,article,News,,['Theater']
The Pain of Racial Insults,2015-12-03,article,Letter,,['Race and Ethnicity']
"The Frugal Traveler Returns to Germany, Now as a Citizen",2015-12-02,article,News,,"['Budget Travel', 'Travel and Vacations']"
"In Luxury, the Female Factor",2015-12-01,article,News,,"['Women and Girls', 'Luxury Goods and Services', 'Boards of Directors', 'Fashion and Apparel', 'Appointments and Executive Changes']"
