headline,date,doc_type,material_type,section,keywords
After the Florence Flood: Saving Vasari’s ‘Last Supper’,2016-11-03,article,News,,"['Art', 'Restoration and Renovation', 'Floods']"
Parks and Jubilations,2016-11-03,article,News,,"['Parties (Social)', 'Fashion and Apparel']"
Start-Ups for the End of Life,2016-11-02,article,News,,"['Death and Dying', 'Funerals and Memorials', 'Start-ups', 'Computers and the Internet', 'Small Business', 'Wills and Estates', 'Entrepreneurship', 'Life-Sustaining Support Systems, Withdrawal Of']"
Why Light Bulbs May Be the Next Hacker Target,2016-11-03,article,News,,"['Home Automation and Smart Homes', 'Cyberattacks and Hackers', 'Computer Security', 'Research']"
Review: ‘The Pickle Recipe’ Is a Sweet and Sour Caper,2016-11-03,article,Review,,['Movies']
"F.B.I., Mosul, Standing Rock: Your Wednesday Briefing",2016-11-02,article,briefing,,[]
"In Robocall, White Nationalist Accuses Utah’s Evan McMullin of Secretly Being Gay",2016-11-01,article,News,,"['Presidential Election of 2016', 'Third-Party Politics (US)', 'Same-Sex Marriage, Civil Unions and Domestic Partnerships']"
"‘Brexit’ Will Require a Vote in Parliament, U.K. Court Rules",2016-11-03,article,News,,"['Great Britain Withdrawal from EU (Brexit)', 'Legislatures and Parliaments', 'Decisions and Verdicts']"
A Blast from Campaigns Past ... A Grab Bag of Vintage Swag,2016-11-03,article,News,,"['Memorabilia and Souvenirs', 'Presidential Elections (US)']"
Would You Want to Go to a School Like This One?,2016-11-02,article,News,,[]
"Review: In ‘Trash Fire,’ a Familiar Formula Fails",2016-11-03,article,Review,,['Movies']
Why Sexual Harassment Persists in Politics,2016-11-02,article,News,,"['Sexual Harassment', 'United States Politics and Government', 'Women and Girls']"
Obama’s 3-Day Swing Will Try to Push Blacks and Millennials Hillary Clinton’s Way,2016-11-02,article,News,,"['Presidential Election of 2016', 'Electoral College']"
A Day Late for ‘Hamilton’,2016-11-03,article,Brief,,[]
Lead Plaintiff in N.F.L. Concussion Settlement Had Advanced C.T.E.,2016-11-03,article,News,,"['Football', 'Chronic Traumatic Encephalopathy', 'Concussions', 'AMYOTROPHIC LATERAL SCLEROSIS']"
What’s Wrong With Politics? Let’s Start With the Benches,2016-11-02,article,Op-Ed,,"['Legislatures and Parliaments', 'ARCHITECTURE']"
Why America Needs a Female President,2016-11-02,article,Op-Ed,,"['Women and Girls', 'Presidential Election of 2016']"
World Series: Here’s How the Chicago Cubs Won Game 7,2016-11-02,article,News,,"['Baseball', 'World Series']"
Young Adolescents as Likely to Die From Suicide as From Traffic Accidents,2016-11-03,article,News,,"['Suicides and Suicide Attempts', 'Teenagers and Adolescence', 'Depression (Mental)', 'Women and Girls', 'Social Media', 'Traffic Accidents and Safety']"
"Bethel, Conn.: Bucolic and Affordable",2016-11-02,article,News,,['Real Estate and Housing (Residential)']
A Guide to Getting a Bachelor’s Abroad,2016-11-02,article,News,,"['Colleges and Universities', 'International Study and Teaching', 'Americans Abroad']"
Think Like a Doctor: The Painter’s Headaches,2016-11-03,article,News,,"['Brain', 'Nerves and Nervous System', 'Magnetic Resonance Imagers', 'Health Insurance and Managed Care']"
Indians Would Like to Forget Their Adventures in the Outfield,2016-11-02,article,News,,"['Baseball', 'World Series']"
‘Everyone Needs to Act’: What to Expect From Climate Talks in Morocco,2016-11-03,article,News,,"['United Nations Framework Convention on Climate Change', 'Alternative and Renewable Energy', 'Global Warming']"
South Korean Prosecutors Say They Will Bring Charges Against President’s Friend,2016-11-02,article,News,,"['Frauds and Swindling', 'Ethics and Official Misconduct']"
Day of the Dead,2016-11-01,article,News,,[]
Seeking a Bargain in a Bottle of Water,2016-11-02,article,Brief,,['Water']
Kid-Wrangling 101,2016-11-03,article,News,,"['Children and Childhood', 'Video Recordings, Downloads and Streaming']"
