headline,date,doc_type,material_type,section,keywords
American Architect,2014-05-01,article,Review,,['Books and Literature']
Timeless Papua New Guinea,2014-05-02,article,Question,,"['Travel and Vacations', 'Documentary Films and Programs']"
"Assi Dayan, a Celebrated Actor and Filmmaker in Israel, Dies at 68",2014-05-03,article,Obituary (Obit),,"['Movies', 'Deaths (Obituaries)', 'ACTORS AND ACTRESSES']"
Nets’ Exhilarating Rally Ends in Excruciating Fashion,2014-05-01,article,News,,['Basketball']
Billions Not Required for Angel Investing,2014-05-02,article,News,,"['Personal Finances', 'Venture Capital', 'Start-ups', 'Entrepreneurship', 'Books and Literature']"
What’s On Saturday,2014-05-03,article,Schedule,,[]
"My, What Lovely Flowers. Who Lobbied for Them?",2014-05-02,article,News,,"['Flowers and Plants', 'White House Building (Washington, DC)', 'Lobbying and Lobbyists', 'United States Politics and Government', 'International Trade and World Market']"
Editors’ Choice,2014-05-02,article,List,,['Books and Literature']
Standing with the Kidnapped Girls in Nigeria,2014-05-03,article,News,,[]
Robert Longo: ‘Gang of Cosmos’,2014-05-01,article,Review,,['Art']
The Kentucky Derby Dartboard,2014-05-02,article,Text,,"['Horse Racing', 'Kentucky Derby', 'Jockeys, Drivers and Trainers', 'Horses']"
The Mysterious Adventure of the Good Night’s Sleep,2014-05-01,article,Review,,['Movies']
Ukraine Presses Pro-Russia Militants After Fighting Spreads to a Port City,2014-05-03,article,News,,"['Demonstrations, Protests, and Riots', 'International Relations']"
"Naismith’s Choices on Race, From Basketball’s Beginnings",2014-05-02,article,News,,['Basketball']
China Criticizes U.S. Terrorism Report,2014-05-02,article,News,,"['Terrorism', 'Uighurs (Chinese Ethnic Group)']"
AstraZeneca Rejects a Higher Bid From Pfizer,2014-05-02,article,News,,"['Drugs (Pharmaceuticals)', 'Mergers, Acquisitions and Divestitures', 'Stocks and Bonds']"
Protester Says She Doesn’t Recall Hitting Officer With Elbow,2014-05-01,article,News,,['Attacks on Police']
"Cadillac Recalls 51,000 SRX Crossovers for Acceleration Problem",2014-05-01,article,News,,['Automobile Safety Features and Defects']
"Anthony Drexel Duke, 95, Dies; Scion of Wealth Aided Underprivileged",2014-05-03,article,Obituary (Obit),,['Deaths (Obituaries)']
Lament for a Live Subway Voice,2014-05-02,article,News,,"['Robots and Robotics', 'Subways']"
"Teaching and Titillating, No Matter the Instrument",2014-05-02,article,News,,['Music']
Nets’ Fate May Rest With Backcourt ,2014-05-03,article,News Analysis,,"['Basketball', 'Playoff Games']"
"A Life in a String Quartet, and Beyond",2014-05-01,article,Review,,"['Classical Music', 'Documentary Films and Programs']"
"Sunday Breakfast Menu, May 4",2014-05-03,article,News,,[]
GTT ★,2014-05-01,article,News,,[]
Times Minute | Brutal Weather Hits U.S.,2014-05-01,article,News,,[]
"Attackers Use Microsoft Security Hole Against Energy, Defense, Finance Targets",2014-05-01,article,News,,"['Blogs and Blogging (Internet)', 'Computer Malware', 'Computer Security', 'Computers and the Internet', 'Laboratories and Scientific Equipment', 'Web Browsers']"
Bodice-Ripper in New Hands ,2014-05-02,article,News,,"['Mergers, Acquisitions and Divestitures', 'Book Trade and Publishing']"
"In Spite of the Law, Afghan ‘Honor Killings’ of Women Continue",2014-05-03,article,News,,"['Honor Killings', 'Women and Girls', 'Murders and Attempted Murders']"
"A Man and His Elephant, and Flying Fists",2014-05-01,article,Review,,['Movies']
Introducing The Data Boss: Making Smarter Decisions,2014-05-02,article,News,,"['Computers and the Internet', 'Small Business']"
"Marcel Van Ooyen: Helping Flowers, Herbs and Sons Grow",2014-05-03,article,News,,"['Cooking and Cookbooks', 'Gardens and Gardening']"
Your Evening Briefing,2014-05-02,article,News,,[]
Solo in Paris,2014-05-02,article,News,,['Travel and Vacations']
Email Suggests White House Strategy on Benghazi,2014-05-01,article,News,,"['Middle East and North Africa Unrest (2010- )', 'United States International Relations', 'United States Politics and Government', 'Diplomatic Service, Embassies and Consulates', 'Benghazi Attack (2012)']"
Merkel Visits the White House,2014-05-02,article,Op-Ed,,['United States International Relations']
Mixed Verdict in Apple-Samsung Patent Fight,2014-05-03,article,News,,"['Decisions and Verdicts', 'Inventions and Patents', 'Smartphones']"
