headline,date,doc_type,material_type,section,keywords
"Carlos Ghosn, at Home but Waiting for the Next Move",2020-01-03,article,News,,"['Extradition', 'Politics and Government', 'Corruption (Institutional)']"
Killing of Iranian Commander Is Met With Criticism and Tough Talk,2020-01-03,article,News,,"['Targeted Killings', 'United States Politics and Government', 'Defense and Military Forces', 'Terrorism', 'Oil (Petroleum) and Gasoline', 'United States Defense and Military Forces']"
"In the Swim of Digital Images, There’s Nothing Boring About Sculpture",2020-01-02,article,Review,,"['Art', 'Sculpture']"
One Thing You Can Do: Make Your New Year’s Resolutions Count,2020-01-01,article,News,,['Global Warming']
Tessa Majors Murder: 13-Year-Old Suspect Must Remain in Custody,2020-01-03,article,News,,"['Murders, Attempted Murders and Homicides']"
Things to Do in N.Y.C. This January,2020-01-02,article,News,,"['Art', 'Television', 'Movies', 'Music', 'Culture (Arts)', 'Winter Jazzfest', 'Under the Radar Festival']"
What Era Do You Wish You Had Grown Up In?,2020-01-03,article,News,,[]
Meteor Showers in 2020 That Will Light Up Night Skies,2020-01-01,article,News,,"['Meteors and Meteorites', 'Space and Astronomy', 'Earth', 'Solar System']"
"The Best Movies and TV Shows Coming to Netflix, Apple TV Plus and More in January",2020-01-02,article,News,,['Television']
Hong Kong Protesters Return to Streets as New Year Begins,2020-01-01,article,News,,"['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']"
What Are Your Predictions for the New Year and the New Decade?,2020-01-02,article,News,,[]
"Bernie Sanders Raised $34.5 Million in the Fourth Quarter, Pacing the Field",2020-01-02,article,News,,"['Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']"
"Oil Prices Jump, and Stocks Slide, After U.S. Kills Iranian General",2020-01-03,article,News,,"['Oil (Petroleum) and Gasoline', 'Futures and Options Trading', 'Terrorism', 'Stocks and Bonds', 'Prices (Fares, Fees and Rates)', 'Targeted Killings', 'United States Defense and Military Forces']"
Wanted: A Home for Three Million Records,2020-01-03,article,News,,"['Pop and Rock Music', 'Archives and Records', 'Collectors and Collections', 'Nonprofit Organizations']"
Inside the Fake Igloo Rooftop Wars,2020-01-01,article,News,,"['Bars and Nightclubs', 'Roofs']"
‘Surviving R. Kelly’ Night One Recap: Threats and New Abuse Details,2020-01-02,article,News,,"['Television', 'Documentary Films and Programs', 'Sex Crimes', 'Child Abuse and Neglect', '#MeToo Movement', 'RHYTHM AND BLUES (MUSIC)']"
The Only Safe Bet in 2020,2020-01-02,article,News,,['Presidential Election of 2020']
What Is the Keto Diet and Does It Work?,2020-01-02,article,News,,"['Obesity', 'Diet and Nutrition', 'Weight', 'Epilepsy', 'Carbohydrates']"
How to Watch the Golden Globes on Sunday,2020-01-03,article,News,,"['Television', 'Movies', 'Awards, Decorations and Honors', 'Golden Globes (Awards)']"
Trump’s Ground Game Against Iran,2020-01-03,article,Op-Ed,,"['Defense and Military Forces', 'Targeted Killings', 'United States International Relations', 'United States Defense and Military Forces', 'Terrorism']"
This Union Defeated Airbnb. Now It’s Taking Aim at a New Target.,2020-01-02,article,News,,"['Hotels and Travel Lodgings', 'Organized Labor', 'Campaign Finance', 'Lobbying and Lobbyists', 'Endorsements']"
Klobuchar and Booker Raise More Money but Trail Far Behind 2020 Leaders,2020-01-03,article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Primaries and Caucuses']"
Older People Need Geriatricians. Where Will They Come From?,2020-01-03,article,News,,"['Elderly', 'Doctors', 'Medicine and Health', 'Population', 'United States Politics and Government', 'Health Insurance and Managed Care', 'Shortages']"
How California’s New Privacy Law Affects You,2020-01-03,article,briefing,,[]
Writing a Book Is a Solitary Endeavor. Publishing One Is a Group Effort.,2020-01-02,article,List,,['Books and Literature']
"Our Lives, Under Construction",2020-01-02,article,News,,"['Historic Buildings and Sites', 'ARCHITECTURE', 'Building (Construction)']"
Only You Can Prevent Dystopia,2020-01-01,article,Op-Ed,,"['Computers and the Internet', 'Social Media']"
Judge Awards Nearly $13 Million to Women Who Say They Were Exploited by Porn Producers,2020-01-03,article,News,,"['Frauds and Swindling', 'Sex Crimes', 'Pornography', 'Video Recordings, Downloads and Streaming']"
"‘Ethical Veganism’ Is a Philosophical Belief, British Court Rules",2020-01-03,article,News,,"['Animal Abuse, Rights and Welfare', 'Diet and Nutrition', 'Veganism']"
Turkey Questions Pilots About Carlos Ghosn’s Escape From Japan,2020-01-02,article,News,,"['Fugitives', 'Extradition']"
"A Hit Man, a Detective Novelist and a Woman Who Fell From the Sky",2020-01-03,article,News,,[]
Helping the Dead Ascend,2020-01-03,article,News,,['Dancing']
Word + Quiz: insipid,2020-01-03,article,News,,[]
Italian Vogue Won’t Publish Photos This Month,2020-01-02,article,News,,"['Fashion and Apparel', 'Magazines', 'your-feed-fashion']"
A.I. Is Learning to Read Mammograms,2020-01-01,article,News,,"['Breast Cancer', 'Mammography', 'Artificial Intelligence', 'Cancer', 'your-feed-healthcare']"
Military Police Can Now Carry Personal Firearms on Marine Corps Bases,2020-01-03,article,News,,"['Naval Air Station Pensacola Shooting (2019)', 'United States Defense and Military Forces', 'Gun Control', 'Murders, Attempted Murders and Homicides', 'Mass Shootings']"
"Money, Rage and Love",2020-01-01,article,News,,[]
A History of War in Six Drugs,2020-01-03,article,News,,"['United States Defense and Military Forces', 'Drug Abuse and Traffic', 'Afghanistan War (2001- )', 'World War II (1939-45)', 'Methamphetamines']"
New in Paperback: ‘The Schoolhouse Gate’ and ‘Ghost Wall’,2020-01-03,article,List,,['Books and Literature']
"Jack Sheldon, Trumpeter and ‘Schoolhouse Rock!’ Singer, Is Dead at 88",2020-01-03,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Jazz', 'ACTORS AND ACTRESSES', 'Television']"
I Do. Take 2.,2020-01-03,article,News,,"['Divorce, Separations and Annulments', 'Marriages']"
Trump Rule Would Exclude Climate Change in Infrastructure Planning,2020-01-03,article,News,,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Infrastructure (Public Works)', 'Labor and Jobs']"
3 Film Series to Catch in N.Y.C. This Weekend,2020-01-02,article,News,,['Movies']
‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,2020-01-01,article,News,,"['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']"
The Year Ended With Another Big Sale at 220 Central Park South,2020-01-03,article,News,,['Real Estate and Housing (Residential)']
Your Thursday Briefing,2020-01-02,article,briefing,,[]
The N.F.L. Wears Patriotism on Its Sleeve. And Its Head. And Its Feet.,2020-01-03,article,News,,"['Football', 'United States Politics and Government', 'United States Defense and Military Forces', 'United States National Anthem Protests (2016- )', 'Flags, Emblems and Insignia', 'National Anthems']"
"He Mocks Saudi Arabia on YouTube. Yes, He Fears for His Safety.",2020-01-03,article,News,,"['Asylum, Right of', 'Cyberattacks and Hackers', 'Threats and Threatening Messages']"
At SoftBank’s Jewel in India: ‘Toxic’ Culture and Troubling Incidents,2020-01-02,article,News,,"['Budget Travel', 'Hotels and Travel Lodgings', 'Venture Capital', 'Corporate Social Responsibility']"
Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,2020-01-01,article,News,,[]
What to Cook This Weekend,2020-01-03,article,News,,['Cooking and Cookbooks']
What’s on TV Thursday: ‘Breakthrough’ and ‘Surviving R. Kelly Part II’,2020-01-02,article,News,,"['Television', 'Movies']"
Behind the Cover: How to Get Out of Prison,2020-01-03,article,News,,['Design']
How the U.S. Embassy in Iraq Became a Target,2020-01-01,article,News,,"['Politics and Government', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Corruption (Institutional)']"
Where Darth Vader Gets His Strength,2020-01-02,article,News,,['Crossword Puzzles']
Mexico Prison Fight Leaves at Least 16 Inmates Dead,2020-01-01,article,News,,"['Prisons and Prisoners', 'Deaths (Fatalities)', 'Drug Cartels', 'Demonstrations, Protests and Riots']"
"New Year, New You?",2020-01-02,article,News,,[]
20 Books We’re Watching For in 2020,2020-01-01,article,News,,"['Books and Literature', 'Writing and Writers']"
Where’s the Best Place to Buy a Winter Vacation Rental?,2020-01-02,article,News,,['Renting and Leasing (Real Estate)']
