headline,date,doc_type,material_type,section,keywords
"Afghan Contractor Handed Out Russian Cash to Kill Americans, Officials Say",2020-07-01,article,News,,"['Afghanistan War (2001- )', 'United States Defense and Military Forces', 'Espionage and Intelligence Services', 'United States International Relations', 'United States Politics and Government']"
Police Clear Seattle’s Protest ‘Autonomous Zone’,2020-07-01,article,News,,"['George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Police Reform', 'Police']"
Late Action on Virus Prompts Fears Over Safety of U.S. Diplomats in Saudi Arabia,2020-07-01,article,News,,"['Coronavirus (2019-nCoV)', 'United States International Relations', 'United States Politics and Government', 'Workplace Hazards and Violations', 'Diplomatic Service, Embassies and Consulates', 'Disease Rates']"
Hedge Fund’s Run at Tribune Publishing Ends With a New Board Seat,2020-07-03,article,News,,"['Newspapers', 'News and News Media', 'Private Equity', 'Boards of Directors']"
‘You Can’t Just Get Up and Steal a Police Horse’,2020-07-01,article,News,,"['Horses', 'Black People', 'Blacks', 'Cowboys and Cowgirls', 'Rumors and Misinformation', 'Black Lives Matter Movement', 'George Floyd Protests (2020)', 'Coronavirus (2019-nCoV)', 'Quarantines']"
How to Make Your Tech Last Longer,2020-07-01,article,News,,"['Content Type: Service', 'Mobile Applications', 'Batteries', 'Computers and the Internet', 'Smartphones', 'Tools', 'Android (Operating System)', 'iPhone', 'Laptop Computers', 'Do It Yourself']"
Let the Delegates Help Choose Biden’s V.P.,2020-07-02,article,Letter,,"['Presidential Election of 2020', 'Democratic National Convention', 'Vice Presidents and Vice Presidency (US)', 'Transgender and Transsexuals', 'Bridges and Tunnels', 'Bicycles and Bicycling']"
"As Coronavirus Cases Spike, Appeals to Wear a Mask",2020-07-03,article,Letter,,"['Coronavirus (2019-nCoV)', 'Masks', 'Coronavirus Reopenings']"
"Tell-All Book on Trump Can Move Forward Pending Hearing, Judge Rules",2020-07-01,article,News,,"['Suits and Litigation (Civil)', 'Books and Literature', 'Book Trade and Publishing', 'Nondisclosure Agreements']"
"Hugh Downs, Perennial Small-Screen Fixture, Is Dead at 99",2020-07-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Television', 'News and News Media']"
America and Europe Are Split on China. They Must Come Together.,2020-07-01,article,Op-Ed,,[]
"Feminists, Poetic Pretensions and Other Letters to the Editor",2020-07-02,article,Letter,,['Books and Literature']
"Slotkin, Former Intelligence Briefer, Presses White House on Russia Reports",2020-07-01,article,News,,"['United States Defense and Military Forces', 'United States Politics and Government', 'Espionage and Intelligence Services', 'United States International Relations']"
The ‘Rocket Ship’ Economic Recovery Is Crashing,2020-07-01,article,News,,"['United States Economy', 'Recession and Depression', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Coronavirus Reopenings', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Layoffs and Job Reductions', 'Labor and Jobs', 'Small Business', 'Unemployment']"
Is Trump Toast?,2020-07-01,article,Op-Ed,,"['Presidential Election of 2020', 'United States Politics and Government', 'Polls and Public Opinion', 'Voting and Voters']"
An Epic Reversal of Fortune,2020-07-01,article,News,,"['United States Economy', 'Coronavirus (2019-nCoV)', 'Masks', 'Protective Clothing and Gear', 'Mergers, Acquisitions and Divestitures', 'Coronavirus Reopenings', ""Standard & Poor's 500-Stock Index""]"
How Berkshire Hathaway May Have Been Snookered in Germany,2020-07-02,article,News,,"['ARBITRATION, CONCILIATION AND MEDIATION', 'Mergers, Acquisitions and Divestitures', 'Frauds and Swindling']"
Can the N.Y.P.D. Handle a $1 Billion Cut? Yes,2020-07-01,article,Editorial,,"['Budgets and Budgeting', 'Police Reform', 'Politics and Government']"
"For Interracial Couples, Advocacy Is a Love Language",2020-07-02,article,News,,"['Race and Ethnicity', 'Dating and Relationships', 'Discrimination', 'Marriages']"
A Public Art Project Devoted to Dismantling Racism at Every Level,2020-07-01,article,News,,"['Art', 'Black People', 'Blacks', 'Race and Ethnicity', 'Black Lives Matter Movement']"
"Homes for Sale in Brooklyn, Queens and Manhattan",2020-07-02,article,News,,['Real Estate and Housing (Residential)']
"Allen Lew, a Virtuoso Builder of Public Works, Dies at 69",2020-07-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Infrastructure (Public Works)']"
Richmond Removes Confederate Statues From Monument Avenue,2020-07-02,article,News,,"['Monuments and Memorials (Structures)', 'Civil War (US) (1861-65)', 'George Floyd Protests (2020)', 'Black Lives Matter Movement']"
"2 Officers Face Murder Charges After Using Taser on Man More Than 50 Times, Officials Say",2020-07-03,article,News,,"['Murders, Attempted Murders and Homicides', 'Police Brutality, Misconduct and Shootings', 'Stun Guns']"
"Writing Prompts, Lesson Plans, Graphs and Films: 150 Resources for Teaching About the Coronavirus Pandemic",2020-07-01,article,News,,[]
"PG&E, Troubled California Utility, Emerges From Bankruptcy",2020-07-01,article,News,,"['Wildfires', 'Bankruptcies', 'Appointments and Executive Changes']"
Play Ball? Sports Amid the Coronavirus,2020-07-02,article,Letter,,"['Baseball', 'Football', 'Coronavirus (2019-nCoV)', 'Coronavirus Reopenings']"
"Symone Sanders Bet on Biden, and Herself",2020-07-03,article,News,,"['Presidential Election of 2020', 'News and News Media', 'United States Politics and Government', 'Black People', 'Blacks']"
Summer Reading Contest Week 4: What Got Your Attention in The Times This Week?,2020-07-02,article,News,,[]
George Floyd’s Killing Prompts Africans to Call for Police Reform at Home,2020-07-03,article,News,,"['Police Brutality, Misconduct and Shootings', 'Police Reform', 'George Floyd Protests (2020)', 'Black Lives Matter Movement']"
Biden Says Trump ‘Waved the White Flag’,2020-07-01,article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Coronavirus Reopenings']"
This Giant Blueberry Scone Is Self-Care With Butter and Flour,2020-07-01,article,News,,"['Quarantine (Life and Culture)', 'Bakeries and Baked Products', 'Cooking and Cookbooks', 'Butter']"
What Keeps America Divided?,2020-07-02,article,Review,,"['Books and Literature', 'United States Politics and Government', 'Income Inequality']"
"Gentlemen, Take Control of That Beard",2020-07-03,article,News,,"['Quarantine (Life and Culture)', 'Beards and Mustaches', 'Content Type: Service', 'Men and Boys']"
Essence Names Interim Chief After Claim of ‘Abusive Work Culture’,2020-07-02,article,News,,"['Appointments and Executive Changes', 'Black People', 'Blacks', 'Magazines', 'Women and Girls', 'Discrimination', 'Race and Ethnicity', 'Workplace Hazards and Violations']"
New ‘TV’ Is a Lot Like TV,2020-07-02,article,News,,"['Computers and the Internet', 'Television']"
What’s on TV Wednesday: ‘Gloria: A Life’ and ‘My Spy’,2020-07-01,article,News,,"['Television', 'Movies']"
Couple Charged After Videos Show White Woman Pulling Gun on Black Woman,2020-07-02,article,News,,"['Firearms', 'Assaults', 'Black People', 'Blacks', 'Video Recordings, Downloads and Streaming', 'Social Media']"
"A Cheap, Simple Way to Control the Coronavirus",2020-07-03,article,Op-Ed,,"['Tests (Medical)', 'Coronavirus (2019-nCoV)']"
Arrest Is Made in Connection With Missing Fort Hood Soldier,2020-07-01,article,News,,"['Missing Persons', 'United States Defense and Military Forces', 'Sexual Harassment']"
"Tito Vértiz, Prison Therapist, Novelist and Painter, Dies at 80",2020-07-01,article,Obituary (Obit),,"['Coronavirus (2019-nCoV)', 'Deaths (Obituaries)']"
W.N.B.A. Star’s Role in Freeing Man From Prison Shows Female Athletes at Forefront,2020-07-02,article,News,,"['False Arrests, Convictions and Imprisonments', 'Prisons and Prisoners', 'Black Lives Matter Movement', 'George Floyd Protests (2020)', 'Women and Girls', 'Black People', 'Blacks', 'Basketball']"
WNYC Employees Demanded Diversity. They Got Another White Boss.,2020-07-03,article,News,,"['Radio', 'Appointments and Executive Changes', 'Race and Ethnicity', 'Public Broadcasting', 'News and News Media', 'Workplace Hazards and Violations', 'Minorities']"
Secret Contracts Held a Surprise for Fiorentina’s New Owners,2020-07-03,article,News,,['Soccer']
The Perfect Ending to Our Pandemic Honeymoon Road Trip,2020-07-01,article,News,,"['Honeymoons', 'Cocktails and Mixed Drinks', 'Bars and Nightclubs', 'Travel and Vacations', 'Road Trips', 'Coronavirus (2019-nCoV)']"
The Most Delicious Chicken,2020-07-03,article,News,,"['Cooking and Cookbooks', 'Grilling (Cooking)']"
Reading Orwell for the Fourth of July,2020-07-03,article,Op-Ed,,"['Social Media', 'Freedom of the Press']"
Masks On in a Near-Empty Hall: Germany’s Theaters Return,2020-07-02,article,Review,,"['Theater', 'Coronavirus Reopenings']"
Comedy via Zoom: It’s the Golden Age of Mugging,2020-07-01,article,News,,"['Comedy and Humor', 'Quarantine (Life and Culture)', 'Videophones and Videoconferencing']"
How Safe Are Outdoor Gatherings?,2020-07-03,article,News,,"['Coronavirus Risks and Safety Concerns', 'Content Type: Service', 'Parties (Social)', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Masks', 'Coronavirus Reopenings']"
How the Fight Against AIDS Can Inform the Fight Against Covid-19,2020-07-02,article,News,,"['Coronavirus (2019-nCoV)', 'ACQUIRED IMMUNE DEFICIENCY SYNDROME', 'Quarantines', 'Epidemics']"
When Police Are Hackers: Hundreds Charged as Encrypted Network Is Broken,2020-07-02,article,News,,"['Cyberattacks and Hackers', 'Drug Abuse and Traffic', 'Organized Crime']"
Why Are Fireworks Going Off Every Night in California?,2020-07-03,article,briefing,,[]
‘The Car You Buy Because You Love Driving’,2020-07-02,article,News,,"['Automobiles', 'Antique and Classic Cars', 'Organizations, Societies and Clubs', 'Automobile Racing']"
Goodbye to the Wild Wild Web,2020-07-02,article,News,,"['Computers and the Internet', 'Social Media', 'Corporate Social Responsibility', 'Rumors and Misinformation', 'Discrimination', 'Cyberharassment', 'Mobile Applications']"
"The Best Movies and TV Shows Coming to Netflix, Amazon and More in July",2020-07-01,article,News,,"['Movies', 'Television']"
"$360,000 Homes in Rhode Island, Michigan and Pennsylvania",2020-07-01,article,News,,['Real Estate and Housing (Residential)']
‘The Baby-Sitters Club’ Defies and Exceeds Expectations,2020-07-02,article,Review,,['Television']
What to Do When Children Interrupt TV News Interviews?,2020-07-02,article,News,,['Parenting']
‘Defund the Police’? Easy for You to Say,2020-07-02,article,News,,"['Customs, Etiquette and Manners']"
"Bettors Gamble With Their Money, and the Virus, as Atlantic City Reopens",2020-07-03,article,News,,"['Coronavirus (2019-nCoV)', 'Coronavirus Reopenings', 'Casinos', 'Workplace Hazards and Violations']"
Are Unemployed Americans About to Fall Off a Cliff?,2020-07-02,article,Op-Ed,,"['Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Recession and Depression', 'Unemployment', 'Budgets and Budgeting']"
Duterte Signs Antiterrorism Bill in Philippines Despite Widespread Criticism,2020-07-03,article,News,,"['Terrorism', 'Human Rights and Human Rights Violations', 'Torture', 'Muslims and Islam']"
City Runs Past Liverpool in a Race That Ended Months Ago,2020-07-02,article,News,,['Soccer']
Quotation of the Day: Bettors Take a Chance as Atlantic City Opens Under a New Normal,2020-07-03,article,Quote,,[]
I Watched My War Story Become a Movie,2020-07-03,article,News,,"['United States Defense and Military Forces', 'Afghanistan War (2001- )', 'Movies']"
"Jonathan Irons, Helped by W.N.B.A. Star Maya Moore, Freed From Prison",2020-07-01,article,News,,"['Prisons and Prisoners', 'False Arrests, Convictions and Imprisonments', 'Basketball']"
Revisiting a New York That Doesn’t Currently Exist,2020-07-01,article,Letter,,['Quarantine (Life and Culture)']
Deutsche Bank May Offer Wirecard a Lifeline,2020-07-02,article,News,,['Mobile Commerce and Payments']
Bounties Uproar Casts a Shadow Over a Rare Trump Foreign Policy Achievement,2020-07-02,article,News,,"['United States International Relations', 'United States Defense and Military Forces', 'Afghanistan War (2001- )', 'United States Politics and Government']"
"Coronavirus Leads Some Athletes to Opt Out, if They Can Afford It",2020-07-03,article,News,,"['Baseball', 'Coronavirus (2019-nCoV)', 'Coronavirus Reopenings', 'Basketball', 'Soccer']"
The Big U-turn,2020-07-02,article,News,,"['United States Economy', 'Coronavirus (2019-nCoV)', 'Unemployment', 'Layoffs and Job Reductions', 'Coronavirus Reopenings']"
"Donkeys, Elephants and a Samoyed Puppy",2020-07-03,article,News,,['Weddings and Engagements']
Miami Police Move to Fire Officer Who Struck Woman in Face,2020-07-02,article,News,,"['Police', 'Police Brutality, Misconduct and Shootings']"
Moderate Drinking May Be Good for the Brain,2020-07-02,article,News,,"['ALCOHOLIC BEVERAGES', 'Age, Chronological', 'Dementia', 'Memory']"
It’s Van-demonium on Those Roads!,2020-07-01,article,News,,"['Vans', 'Restoration and Renovation', 'Camps and Camping', 'Quarantine (Life and Culture)']"
"James Sherwood, Who Revived the Orient Express, Dies at 86",2020-07-03,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Railroads', 'Hotels and Travel Lodgings']"
Researchers Debate Infecting People on Purpose to Test Coronavirus Vaccines,2020-07-01,article,News,,"['Clinical Trials', 'Vaccination and Immunization', 'Coronavirus Risks and Safety Concerns', 'Coronavirus (2019-nCoV)', 'Research', 'your-feed-healthcare']"
How Investors Are Addressing Racial Injustice,2020-07-03,article,News,,"['Corporate Social Responsibility', 'Race and Ethnicity', 'Stocks and Bonds', 'Personal Finances', 'Minorities', 'High Net Worth Individuals']"
New Administration Memo Seeks to Foster Doubts About Suspected Russian Bounties,2020-07-03,article,News,,"['United States Defense and Military Forces', 'Afghanistan War (2001- )', 'Espionage and Intelligence Services', 'United States Politics and Government']"
The Fear Factor: Bringing the Beijing Treatment to Hong Kong,2020-07-01,article,News,,"['Political Prisoners', 'Politics and Government', 'Hong Kong Protests (2019)']"
The Young Cut Loose in Myrtle Beach. The Virus Followed Them Home.,2020-07-01,article,News,,"['Coronavirus (2019-nCoV)', 'Travel and Vacations', 'Youth', 'Beaches', 'Summer (Season)', 'Coronavirus Reopenings', 'Disease Rates']"
"It’s Not a Snake, but Beware of Its Venomous Bite",2020-07-03,article,News,,"['AMPHIBIANS', 'Teeth and Dentistry', 'Poisoning and Poisons', 'Snakes', 'Research', 'Evolution (Biology)']"
Your Thursday Briefing,2020-07-02,article,briefing,,[]
