headline,date,doc_type,material_type,section,keywords
"Obama and Paul Ryan Have Lunch, and Consider a Wary Truce",2016-02-02,article,News,,"['United States Politics and Government', 'Presidential Election of 2016', 'Presidential Election of 2008']"
Bernie Sanders Campaign Criticizes State Party for Failing to Collect Votes,2016-02-02,article,News,,"['Presidential Election of 2016', 'Primaries and Caucuses']"
Surge of Zika Virus Has Brazilians Re-examining Strict Abortion Laws,2016-02-03,article,News,,"['Zika Virus', 'ABORTION', 'Birth Defects', 'Microcephaly', ""Women's Rights"", 'ANENCEPHALY']"
Tara Parker-Pope: Living Well,2016-02-03,article,News,,['Medicine and Health']
New Hampshire Offers Hope to Candidates Who Lagged in Iowa,2016-02-02,article,News,,"['Presidential Election of 2016', 'Primaries and Caucuses']"
"$1,100,000 Homes in Seattle, Massachusetts, and Texas",2016-02-03,article,News,,['Real Estate and Housing (Residential)']
Hillary Clinton Leads in Fund-Raising From Lobbyists,2016-02-01,article,News,,"['Campaign Finance', 'Lobbying and Lobbyists', 'Presidential Election of 2016']"
Mauro Bigonzetti to Direct La Scala Ballet,2016-02-02,article,News,,"['Appointments and Executive Changes', 'Dancing']"
"18 Gang Members, Accused of Terrorizing Brooklyn, Are Indicted",2016-02-03,article,News,,"['Gangs', 'Murders, Attempted Murders and Homicides']"
Giving Sundance Movies a Second Chance,2016-02-01,article,News,,"['Movies', 'Sundance Film Festival (Park City, Utah)']"
"Set to Start Dream Job, Reporter Dies at 32",2016-02-01,article,News,,"['Deaths (Fatalities)', 'Newspapers']"
"Calvin Johnson: Bigger, Stronger, Faster and, Maybe Soon, Retired",2016-02-01,article,News,,['Football']
Bernie Sanders and the Youth Vote,2016-02-01,article,News,,"['Presidential Election of 2016', 'Primaries and Caucuses', 'United States Politics and Government', 'Youth']"
"On Signing Day, Powerhouse Programs Strive to Remain on Top",2016-02-02,article,News,,"['Football (College)', 'Draft and Recruitment (Sports)']"
California: Los Angeles Charges Gas Company in Leak,2016-02-03,article,Brief,,"['Natural Gas', 'Hazardous and Toxic Substances']"
Seattle Police Arrest 3 Boys in Deadly Shooting at Homeless Camp,2016-02-02,article,News,,"['Murders, Attempted Murders and Homicides', 'Homeless Persons']"
"Scott Gomez, a Onetime Rookie Star, Is Again an N.H.L. Prospect",2016-02-01,article,News,,"['Hockey, Ice']"
U.S. Soccer Sues Union Representing the Women’s National Team,2016-02-03,article,News,,"['Soccer', 'Women and Girls', 'Wages and Salaries', 'Discrimination', 'Collective Bargaining', 'Suits and Litigation (Civil)', 'Organized Labor']"
Menacing Video Posted by Chechen Leader Alarms Critics of Putin in Russia,2016-02-02,article,News,,"['Video Recordings, Downloads and Streaming', 'Social Media']"
Israeli Police Officer Is Killed in Attack by 3 Palestinians in Jerusalem,2016-02-03,article,News,,"['Palestinians', 'Attacks on Police']"
"A Playful, French Take on a Classic Notebook",2016-02-02,article,News,,"['Books and Literature', 'Design', 'Art']"
A Global Journey With a Camera and a Motorcycle,2016-02-01,article,News,,"['Motorcycles, Motor Bikes and Motorscooters', 'Photography', 'Travel and Vacations']"
