headline,date,doc_type,material_type,section,keywords
"Corrections: August 1, 2014",2014-08-01,article,News,,[]
 S.U.V.s and Trucks Lift Monthly Vehicle Sales,2014-08-01,article,News,,"['Automobiles', 'Company Reports', 'Sports Utility Vehicles and Light Trucks', 'Prices (Fares, Fees and Rates)']"
Nonprofits Provide Jobless Men With a Fitting for a Second Chance,2014-08-03,article,News,,"['Unemployment', 'Fashion and Apparel', 'Philanthropy', 'Homeless Persons', 'Labor and Jobs', 'Men and Boys']"
"Detroit Love, Swedish Style",2014-08-01,article,News,,"['Antique and Classic Cars', 'Automobiles']"
"Winning Lottery Numbers for July 31, 2014",2014-08-01,article,List,,['Lotteries']
A Dozen States File Suit Against New Coal Rules,2014-08-02,article,News,,"['Coal', 'Greenhouse Gas Emissions', 'Clean Air Act']"
"Real Estate Agents for Older Adults Are Part Broker, Part Therapist",2014-08-01,article,News,,"['Real Estate Brokers', 'Elderly', 'Moving and Moving Industry']"
A Cuomo Opponent Tilting at Corruption,2014-08-01,article,News,,"['Elections, Governors', 'Corruption (Institutional)']"
It’s August. Here Is Your Beach Reading.,2014-08-02,article,Letter,,"['Travel and Vacations', 'Summer (Season)', 'Beaches']"
Sunni Extremists in Iraq Seize 3 Towns From Kurds and Threaten Major Dam,2014-08-03,article,News,,"['Kurds', 'Terrorism', 'Levees and Dams', 'Defense and Military Forces', 'Monuments and Memorials (Structures)', 'Shiite Muslims', 'Sunni Muslims']"
"Matthew Pate, Samuel Garrett",2014-08-03,article,News,,['Weddings and Engagements']
"Calvin Wilson, Timmy Cuevas",2014-08-03,article,News,,['Weddings and Engagements']
Also Missing: Explanation for an Absence,2014-08-02,article,News,,"['Golf', 'Drug Abuse and Traffic', 'Tests (Drug Use)', 'Doping (Sports)']"
Treasury Auctions for the Week of Aug. 4,2014-08-03,article,News,,"['Credit and Debt', 'Stocks and Bonds', 'Income Tax']"
"Dick Smith, Oscar-Winning Makeup Artist, Dies at 92",2014-08-01,article,Obituary (Obit),,"['Movies', 'Deaths (Obituaries)', 'Academy Awards (Oscars)']"
Botox Maker Allergan’s Takeover Defense Speed Bump,2014-08-01,article,News,,"['Insider Trading', 'Mergers, Acquisitions and Divestitures', 'Suits and Litigation (Civil)']"
Best Exotic Kingdom,2014-08-01,article,Review,,['Books and Literature']
"Once Leader of Outcry, de Blasio Is Now Trying to Quell It",2014-08-01,article,News Analysis,,"['Police Brutality, Misconduct and Shootings', 'Search and Seizure', 'Mayors', 'Police', 'Blacks', 'Black People', 'Race and Ethnicity', 'Asphyxiation, Choking, and Suffocation', 'Demonstrations, Protests and Riots']"
Gas Suspected in Fatal Blasts That Jolted a City in Taiwan,2014-08-01,article,News,,"['Explosions (Accidental)', 'Fires and Firefighters', 'Deaths (Fatalities)']"
Singers Stretch Their Genres,2014-08-01,article,News,,"['Jazz', 'Music']"
Square-Foot Supersizing in the Tropics,2014-08-02,article,News,,['Travel and Vacations']
The Times and the ‘Go Big’ Approach,2014-08-02,article,Op-Ed,,"['Public Editor (Times Column)', 'Marijuana', 'Sex Crimes', 'News and News Media']"
What’s Almost as Certain as Death? Not Talking About the Inheritance,2014-08-01,article,News,,"['Wills and Estates', 'High Net Worth Individuals', 'Families and Family Life']"
A News Giant Going It Alone,2014-08-03,article,News,,['Newspapers']
Lockout Is Delayed While an Independent Analyst Examines the Met’s Finances,2014-08-03,article,News,,"['Organized Labor', 'Lockouts', 'Budgets and Budgeting', 'Finances']"
"James Franco: On His Plate, Steak (and Many Projects)",2014-08-01,article,News,,"['Theater', 'Movies', 'ACTORS AND ACTRESSES']"
"School Shelters in Gaza Offer Limited Safety, and Even Less Comfort",2014-08-01,article,News,,"['Refugees and Displaced Persons', 'Palestinians']"
"Kara Gorski, Edward Reed",2014-08-03,article,News,,['Weddings and Engagements']
Impeachment Julep,2014-08-01,article,News,,"['Impeachment', 'Cocktails']"
The Easy Banter and the Vicious Retorts of ‘Married’,2014-08-01,article,News,,['Television']
"With Uncertainty, Texas Schools Brace for New Arrivals",2014-08-02,article,News,,"['Illegal Immigration', 'Education (K-12)', 'Children and Childhood']"
"Believe It Or Not, Atheists, TV for You",2014-08-01,article,News,,"['Television', 'Atheism']"
Nowhere to Run,2014-08-01,article,Review,,['Books and Literature']
"Love Begets Low Scores for García, Who Keeps Lead at Bridgestone",2014-08-03,article,News,,['Golf']
"Video Reviews of ‘Guardians of the Galaxy,’ ‘Get On Up’ and ‘Child of God’",2014-08-01,article,News,,[]
Strahan Still in Spotlight Ahead of Hall of Fame Induction,2014-08-01,article,News,,"['Football', 'Television']"
Good News on Financial Reform,2014-08-01,article,News,,[]
Why Our Expectations of Childbirth Are Changing,2014-08-03,article,News,,"['ANESTHESIA AND ANESTHETICS', 'Caesarean Section', 'Parenting', 'Pregnancy and Childbirth']"
1939: Woman M.P. Is 1st to Wed in Commons Crypt,2014-08-03,article,News,,"['Legislatures and Parliaments', 'Marriages', 'Women and Girls']"
Ethics of Paying Ransom to Terrorists,2014-08-02,article,Letter,,"['Terrorism', 'Kidnapping', 'Bribery and Kickbacks']"
"This Time, a Different Kind of War Between Israel and Hamas",2014-08-02,article,Op-Ed,,"['Palestinians', 'United States Politics and Government', 'Civilian Casualties', 'Defense and Military Forces', 'Malaysia Airlines Flight 17', 'Embargoes and Sanctions', 'Surveillance of Citizens by Government', 'Classified Information and State Secrets']"
Rooftop Parties Galore,2014-08-01,article,News,,['Real Estate and Housing (Residential)']
Analytics: The Penn State Review,2014-08-02,article,News,,[]
‘The Marijuana Divide’,2014-08-02,article,Op-Ed,,"['Marijuana', 'Law and Legislation']"
The Physician Assistant Will See You,2014-08-01,article,News,,"['Graduate Schools and Students', 'Doctors', 'Medicine and Health', 'Nursing and Nurses', 'Health Insurance and Managed Care']"
Who Made That Dog Biscuit?,2014-08-01,article,News,,"['Inventions and Patents', 'Pet Foods', 'Dogs']"
Ocean Radioactivity,2014-08-02,article,Letter,,"['Fukushima Daiichi Nuclear Power Plant (Japan)', 'Oceans and Seas', 'Japan Earthquake and Tsunami (2011)', 'Water Pollution', 'Radiation', 'Environment']"
Jets’ Ambitions Breed Optimism and Skepticism,2014-08-02,article,News,,['Football']
More Remains Found at Ukraine Crash Site,2014-08-02,article,News,,"['Malaysia Airlines Flight 17', 'Aviation Accidents and Safety']"
"In Legal Field, Using Technology to Stay on Top of a Shifting Market",2014-08-01,article,News,,"['Data-Mining and Database Marketing', 'Law Schools']"
George Hobica Finds Air Travel’s Rare Silver Linings,2014-08-01,article,Question,,"['Travel and Vacations', 'AIRLINES AND AIRPLANES', 'Prices (Fares, Fees and Rates)']"
More Rejoin Labor Force; Jobless Rate Up to 6.2% ,2014-08-01,article,News,,"['United States Economy', 'Labor and Jobs']"
New York City’s Week in Pictures: Aug. 1,2014-08-01,article,News,,['Photography']
"Friday Night Music: Sarah Jarosz, Over the Edge",2014-08-01,article,News,,[]
Explosion Kills Dozens at Eastern China Plant,2014-08-02,article,News,,"['Explosions (Accidental)', 'Accidents and Safety', 'Factories and Manufacturing', 'Metals and Minerals']"
China Experiences a Booming Underground Market in Surrogate Motherhood,2014-08-02,article,News,,"['Surrogate Motherhood', 'Infertility', 'Black Markets', 'Pregnancy and Childbirth']"
"Goodbye Albuquerque, Land of Violence",2014-08-02,article,Op-Ed,,"['Police Brutality, Misconduct and Shootings', 'Homeless Persons', 'Murders and Attempted Murders', 'Crime and Criminals']"
Swing Dancing in a Wheelchair,2014-08-01,article,News,,"['Dancing', 'Disabilities']"
Tensions Escalate Between Israel and a Second Party in Gaza: The United Nations,2014-08-01,article,News,,"['Civilian Casualties', 'Defense and Military Forces', 'Palestinians', 'International Relations', 'Humanitarian Aid', 'Deaths (Fatalities)']"
International Arts Events Happening In the Week Ahead,2014-08-01,article,News,,[]
Theater Must Lose a Little Charm to Stay Open,2014-08-02,article,News,,"['Movies', 'Crowdfunding (Internet)']"
"Dogged Persistence Pays Off, With Interest",2014-08-01,article,News,,"['Customer Relations', 'Health Insurance and Managed Care', 'Multiple Sclerosis', 'Stem Cells']"
What’s on TV Saturday,2014-08-02,article,Schedule,,[]
French Telecom Iliad’s Flaky Offer for T-Mobile US,2014-08-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Wireless Communications']"
