headline,date,doc_type,material_type,section,keywords
Elaine May to Direct Mike Nichols Documentary for PBS,2015-11-01,article,News,,"['Television', 'Documentary Films and Programs']"
"Gay Candidates Find Support, or at Least a Shrug, in Salt Lake City",2015-11-02,article,News,,"['Homosexuality and Bisexuality', 'Transgender and Transsexuals', 'Elections, Mayors', 'Human Rights and Human Rights Violations']"
"‘The Diplomat,’ a Son’s Documentary on Richard C. Holbrooke",2015-11-01,article,News,,"['Television', 'Documentary Films and Programs', 'Diplomatic Service, Embassies and Consulates']"
New York Today: A Royal Pain,2015-11-02,article,briefing,,[]
New U.S.-Backed Alliance to Counter ISIS in Syria Falters,2015-11-02,article,News,,"['Kurds', 'Defense and Military Forces', 'United States Defense and Military Forces']"
"Heavy Fog Envelops Parts of Europe, Canceling Flights",2015-11-02,article,News,,"['AIRLINES AND AIRPLANES', 'Delays (Transportation)', 'Weather']"
Gore Calls for Exxon Mobil Inquiry on Climate Change,2015-11-03,article,News,,"['Oil (Petroleum) and Gasoline', 'Global Warming']"
The Rearrangement Puzzle,2015-11-02,article,News,,"['Education (K-12)', 'Mathematics', 'Puzzles']"
Summer Camp Allows Manhattan Boy to Be a Child Again,2015-11-02,article,News,,['Philanthropy']
Swiss Chard Cedes the Spotlight,2015-11-03,article,News,,"['Cooking and Cookbooks', 'Pies', 'Chard (Vegetable)', 'APPLES']"
More Stand Your Ground Mischief in Florida,2015-11-02,article,Editorial,,"['Editorials', 'Self-Defense', 'Law and Legislation', 'Lobbying and Lobbyists', 'Gun Control']"
New Hillary Clinton TV Ad Focuses on One Topic: Gun Violence,2015-11-03,article,News,,"['Gun Control', 'Presidential Election of 2016']"
"Review: ‘Theodora,’ Once a Handel Flop, Is Celebrated Anew",2015-11-02,article,Review,,"['Music', 'White Light Festival (Lincoln Center, NYC)', 'Classical Music']"
"Chicago Police Say Boy, 9, May Have Been Targeted in Fatal Shooting",2015-11-03,article,News,,"['Murders, Attempted Murders and Homicides']"
