headline,date,doc_type,material_type,section,keywords
The Case for Mastering Basic Knife Skills,2016-05-03,article,News,,"['Cooking and Cookbooks', 'Knives']"
"Review: Jenny Diski’s ‘In Gratitude,’ an Uphill Life on and Off Cancer Road",2016-05-01,article,Review,,"['Books and Literature', 'Lung Cancer', 'Writing and Writers']"
Ted Cruz Confronts Donald Trump Supporters in Indiana,2016-05-02,article,News,,['Presidential Election of 2016']
"John Boehner Was ‘Enthusiastic’ About Obama Video, White House Says",2016-05-03,article,News,,"['Video Recordings, Downloads and Streaming']"
"In France, a Film Taps Into a Desire for Change",2016-05-02,article,News,,"['Documentary Films and Programs', 'Demonstrations, Protests and Riots', 'Elections']"
Child Sex Abuse Laws,2016-05-02,article,Letter,,['Sex Crimes']
A Looming Crisis in Lebanon,2016-05-03,article,Op-Ed,,['Refugees and Displaced Persons']
How Colleges Can Again Be Levelers of Society,2016-05-03,article,Op-Ed,,"['ADMISSIONS STANDARDS', 'Colleges and Universities', 'Income Inequality']"
"Review: ‘Baaghi,’ a Bollywood Rebel Tale in Search of a Cause",2016-05-01,article,Review,,['Movies']
"If You Blink, You Might Miss the Eta Aquarids Meteor Shower",2016-05-02,article,News,,"['Space and Astronomy', 'Meteors and Meteorites', 'Comets']"
New York Times Co. Reports Loss as Digital Subscriptions Grow,2016-05-03,article,News,,['Company Reports']
Snapchat at 107 M.P.H.? Lawsuit Blames Teenager (and Snapchat),2016-05-03,article,News,,"['Suits and Litigation (Civil)', 'Traffic Accidents and Safety', 'Driver Distraction and Fatigue']"
"Jason Freedman, Neil Patel",2016-05-01,article,News,,['Weddings and Engagements']
"Kenneth Bae, Longest-Held U.S. Prisoner of North Korea, Reveals Details of Ordeal",2016-05-03,article,News,,"['Political Prisoners', 'Books and Literature']"
Hillary Clinton Raised More Than Bernie Sanders in April,2016-05-02,article,News,,"['Campaign Finance', 'Presidential Election of 2016', 'Primaries and Caucuses', 'United States Politics and Government']"
"A Strange, Sad, Surprising Reality of Syria at War",2016-05-03,article,Question,,[]
Little Sugarcoating in Cao Wenxuan’s Children’s Books,2016-05-01,article,News,,['Books and Literature']
"For Women in Advertising, It’s Still a ‘Mad Men’ World",2016-05-02,article,News,,"['ADVERTISING AND MARKETING', 'Women and Girls', 'Discrimination', 'Hiring and Promotion']"
‘The Jungle Book’ Trounces 3 New Wide-Release Films to Top Box Office,2016-05-01,article,News,,['Movies']
"Hillary Clinton Denounces Unusual Protester: Donald Blankenship, Convicted Mine Executive",2016-05-03,article,News,,"['Coal', 'Explosions (Accidental)', 'Mines and Mining', 'Presidential Election of 2016']"
How to Stop Drivers From Texting ,2016-05-02,article,News,,[]
What’s on TV Sunday,2016-05-01,article,Schedule,,"['Television', 'Web-Original Programming', 'Movies']"
A Tradesman’s Testimonial,2016-05-02,article,Letter,,"['Careers and Professions', 'Education', 'Labor and Jobs']"
"Where Crawfish Are Boiled, Fried and Celebrated",2016-05-02,article,News,,"['Restaurants', 'Seafood']"
Where to Find Hotel Deals? Try a Hotel.,2016-05-03,article,News,,"['Customer Loyalty Programs', 'Hotels and Travel Lodgings', 'Travel and Vacations']"
Hillary Clinton Brings Longtime Clinton Insider Into Her Campaign,2016-05-02,article,News,,"['Presidential Election of 2016', 'United States Politics and Government']"
The Wrong Way to Handle the Kunduz Tragedy,2016-05-02,article,Op-Ed,,"['United States Defense and Military Forces', 'Hospitals', 'Civilian Casualties', 'Courts-Martial']"
"‘Silicon Valley’ Season 3, Episode 2: Conjoined Triangles of Success",2016-05-02,article,Review,,['Television']
Advice for Alzheimer’s Caregivers,2016-05-03,article,News,,"[""ALZHEIMER'S DISEASE"", 'Memory', 'Dementia', 'Mental Health and Disorders']"
Barriers to Scenic Vistas,2016-05-03,article,Letter,,['Fences and Property Barriers']
