headline,date,doc_type,material_type,section,keywords
‘Mr. Robot’ Season Finale: Who’s That Knocking at My Door?,2015-09-03,article,News,,['Television']
Readers Recommend Where to Go Around Lake Michigan,2015-09-01,article,News,,['Travel and Vacations']
‘The Girl in the Spider’s Web’ by David Lagercrantz,2015-09-01,article,Review,,['Books and Literature']
"September 1, 2015 — Pictures of the Day",2015-09-01,article,News,,[]
The Graying of the President,2015-09-01,article,News,,[]
Review: ‘Saturday Night Fever: The Musical’ at Gateway Is Old but New,2015-09-03,article,Review,,['Theater']
Stocks Dive as Worries About Asia Reverberate,2015-09-01,article,News,,"['Stocks and Bonds', 'Economic Conditions and Trends', 'Factories and Manufacturing']"
Dance Listings for Sept. 4-10,2015-09-03,article,Schedule,,"['Dancing', 'Culture (Arts)']"
"Maria on ‘Sesame Street,’ Sonia Manzano, Tells of Her Own Childhood",2015-09-01,article,News,,"['Television', 'Books and Literature']"
Is the Blue-Collar Shirt Still Blue Collar?,2015-09-03,article,News,,"['Fashion and Apparel', 'Labor and Jobs']"
Nikki Haley Says Black Lives Matter Movement Is Endangering Black Lives,2015-09-02,article,News,,"['Charleston, SC, Shooting (2015)', 'Indian-Americans', 'Police Brutality, Misconduct and Shootings', 'Presidential Election of 2016', 'Voter Registration and Requirements']"
"Classical Playlist: Matt Haimovitz, Avalon String Quartet and Eighth Blackbird",2015-09-02,article,News,,['Classical Music']
Making American Men’s Game Great Again: Ideas?,2015-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']"
"First Draft Focus: Throwback Thursday — Whoa, Baby!",2015-09-03,article,News,,"['Babies and Infants', 'Presidential Elections (US)', 'Vice Presidents and Vice Presidency (US)']"
"Citing Improvements, Glaad Ends Annual TV Report",2015-09-03,article,News,,['Television']
"Comfortable at Plate, Jackie Bradley Jr. Eases Boston’s Concerns",2015-09-02,article,News,,['Baseball']
"Things to Do on Long Island, Sept. 6 to 13, 2015",2015-09-03,article,Schedule,,"['Culture (Arts)', 'Theater', 'Museums']"
Injured Vitalia Diatchenko Shows Retirement Has Its Perks,2015-09-01,article,News,,"['Tennis', 'Sports Injuries', 'United States Open (Tennis)']"
China’s Military Parades: A Look Back,2015-09-02,article,News,,"['Cultural Revolution', 'Parades']"
Cycling Caps Return as a Fashion Statement,2015-09-02,article,News,,"['Hats and Caps', 'Bicycles and Bicycling', 'Fashion and Apparel', 'Exercise', 'Cycling, Road']"
Review: Charenée Wade Performs Gil Scott-Heron Works,2015-09-03,article,Review,,"['Music', 'Jazz']"
Between Iraq and a Hawk Base,2015-09-01,article,News,,"['Presidential Election of 2016', 'Iraq War (2003-11)', 'United States Politics and Government', 'United States Defense and Military Forces', 'United States International Relations']"
No Judge of Character,2015-09-03,article,News,,"['Customs, Etiquette and Manners', 'Waiters and Waitresses', 'Discrimination', 'Weddings and Engagements', 'Internships']"
"Barbara Brecht-Schall, Guardian of Father’s Plays, Dies at 84",2015-09-03,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Theater']"
 Union Accused of Betraying Migrant Carnival Workers   ,2015-09-01,article,News,,"['State and County Fairs', 'Organized Labor', 'Wages and Salaries', 'Foreign Workers', 'Suits and Litigation (Civil)']"
Can I Lie to My Father About Being Gay So He Will Pay for My College Education?,2015-09-02,article,News,,"['Ethicists, The (Times Column)', 'Homosexuality and Bisexuality', 'Colleges and Universities', 'Families and Family Life', 'Parenting', 'Ethics (Personal)', 'Scholarships and Fellowships']"
"Review: ‘Creep,’ a Horror Film With the Look of Found Footage",2015-09-01,article,Review,,['Movies']
"Review: ‘Hand of God,’ on Amazon, Is a California Neo-Noir Thriller",2015-09-03,article,Review,,['Web-Original Programming']
‘The Daily Show’ Announces Three New Correspondents,2015-09-02,article,News,,[]
Andy Murray Empathizes With Nick Kyrgios,2015-09-03,article,News,,"['United States Open (Tennis)', 'Tennis']"
A Wild Month on Wall St. Ends Quietly ,2015-09-01,article,News,,"['Stocks and Bonds', ""Standard & Poor's 500-Stock Index"", 'United States Economy', 'Nasdaq Composite Index', 'Interest Rates', 'Dow Jones Stock Average']"
Pope Francis Eases Path to Absolution for Abortion,2015-09-01,article,News,,"['ABORTION', 'Priests']"
Police and Pastors Seek to Curb Violence as Hartford’s Homicide Rate Soars,2015-09-02,article,News,,"['Murders, Attempted Murders and Homicides', 'Police']"
"Things to Do in the Hudson Valley, Sept. 6 to 13, 2015",2015-09-03,article,Schedule,,"['Culture (Arts)', 'Theater', 'Music']"
"Why Fund-Raising Is Important, Even if You Are Trump",2015-09-03,article,News,,"['Campaign Finance', 'Presidential Election of 2016', 'Political Action Committees', 'Endorsements']"
1915: German Admiral Resigns,2015-09-03,article,News,,['World War I (1914-18)']
Shakespeare Gets Hip-Hop Treatment With App,2015-09-01,article,News,,"['Rap and Hip-Hop', 'Theater']"
Judges Standing Upside-Down,2015-09-03,article,Op-Ed,,"['Suits and Litigation (Civil)', 'Courts and the Judiciary']"
Israel Considers Ammunition to Counter Palestinian Stone Throwers,2015-09-02,article,News,,"['Palestinians', 'Defense and Military Forces', 'Rock and Stone', 'ARSON']"
"Ukraine Weighs Autonomy for Parts of East, Already in Russia’s Thrall",2015-09-02,article,News,,"['Demonstrations, Protests and Riots', 'Economic Conditions and Trends']"
GE Capital’s Australian Units Said to Be Receiving Final Bids From 3,2015-09-01,article,News,,"['Auctions', 'Private Equity']"
A Recipe From the Newly Relaunched Aldea,2015-09-01,article,News,,"['Restaurants', 'Recipes']"
"Draghi Says E.C.B. Is Ready to Expand Stimulus, but Not Yet",2015-09-03,article,News,,"['Quantitative Easing', 'Interest Rates', 'Deflation (Economics)', 'European Sovereign Debt Crisis (2010- )']"
"No Corrections: August 31, 2015",2015-09-01,article,News,,[]
"Universal Music Posts Strong Results, and Streaming Is a Bright Spot",2015-09-02,article,News,,"['Company Reports', 'Audio Recordings, Downloads and Streaming']"
"‘The Silo Effect,’ by Gillian Tett",2015-09-02,article,Review,,['Books and Literature']
"At the U.S. Open, ‘Center Court Is Like a Runway’",2015-09-02,article,News,,"['Tennis', 'New York Fashion Week', 'Fashion and Apparel', 'United States Open (Tennis)']"
Mets’ Sudden Crowd Comes Up Empty ,2015-09-02,article,News,,['Baseball']
"For One Apparel Brand, Staying Fit Is Just Part of the Job",2015-09-02,article,News,,"['Exercise', 'Fashion and Apparel', 'Workplace Environment', 'Bicycles and Bicycling']"
Oliver Sacks’s Zest for Life,2015-09-01,article,Letter,,[]
‘Arthur & George’ Makes Sherlock Holmes’s Creator the Detective,2015-09-02,article,News,,"['Holmes, Sherlock (Fictional Character)', 'Television']"
"In Britain, Top Artists Sell Affordable Work Straight From Their Cars",2015-09-03,article,News,,['Art']
‘Sesame Street’ When It Started,2015-09-03,article,News,,"['Television', 'Parades', 'Labor Day', 'Children and Childhood']"
"Review: In Chris Evans’s ‘Before We Go,’ a Chance Encounter With Staying Power",2015-09-03,article,Review,,['Movies']
Netflix’s ‘Narcos': Watched It All? Talk About It With the Critic Neil Genzlinger,2015-09-03,article,News,,[]
Scrutiny of Security Start-Ups May Signal Shift in Venture Funding,2015-09-02,article,News,,"['Venture Capital', 'Computer Security', 'Computers and the Internet', 'Stocks and Bonds']"
Foraging for Fashion,2015-09-01,article,News,,['Fashion and Apparel']
Theater Listings for Sept. 4-10,2015-09-03,article,Schedule,,['Theater']
Review: The Morbid Anatomy Museum Presents a View From the Subconscious,2015-09-03,article,Review,,"['Art', 'Sleep', 'Occult Sciences']"
"2 Men Awarded $750,000 for Wrongful Convictions in 1983 Murder",2015-09-03,article,News,,"['False Arrests, Convictions and Imprisonments', 'Suits and Litigation (Civil)', 'Murders, Attempted Murders and Homicides', 'Prisons and Prisoners', 'Forensic Science', 'DNA (Deoxyribonucleic Acid)']"
Hillary Clinton Uses G.O.P.’s Words to Aid Her Arguments,2015-09-02,article,News,,['Presidential Election of 2016']
Hulu Starts a Commercial-Free Option to Rival Netflix and Amazon,2015-09-02,article,News,,"['Web-Original Programming', 'Video Recordings, Downloads and Streaming', 'Television', 'Movies']"
"Street Dreams Magazine Flips the Script, Bringing Instagram to Print",2015-09-02,article,News,,"['Photography', 'Crowdsourcing (Internet)', 'Magazines']"
Former Longtime Coach Accuses Hunter College of Age Discrimination,2015-09-03,article,News,,"['Track and Field', 'Colleges and Universities', 'Age, Chronological', 'Discrimination', 'Coaches and Managers']"
TV Producers of 2016 Oscars Are Selected,2015-09-01,article,News,,['Academy Awards (Oscars)']
1940: New York Teems With Visitors,2015-09-02,article,News,,"['Labor Day', 'Travel and Vacations']"
What’s On TV Wednesday,2015-09-02,article,Schedule,,['Television']
"At Color Runs, Partying Is the Finish Line",2015-09-02,article,News,,"['Running', 'Youth', 'Millennial Generation']"
Will Germany Succumb to Hate?,2015-09-02,article,Op-Ed,,"['Middle East and Africa Migrant Crisis', 'Discrimination', 'Refugees and Displaced Persons', 'Immigration and Emigration']"
Serena Williams’s Links to a Pioneer Keep Growing Clearer,2015-09-01,article,News,,"['Tennis', 'Blacks', 'Black People', 'Movies', 'Discrimination', 'United States Open (Tennis)']"
Scott Walker Shows His ‘Aggressive’ Side,2015-09-01,article,News,,['Presidential Election of 2016']
"Cory Booker, New Jersey Senator, Backs Iran Nuclear Deal",2015-09-03,article,News,,"['Nuclear Weapons', 'United States Politics and Government']"
Free Your Mind,2015-09-02,article,News,,['Crossword Puzzles']
"After a Killing, Body Cameras Are Expanded in San Antonio",2015-09-01,article,News,,"['Police Brutality, Misconduct and Shootings', 'Cameras', 'Video Recordings, Downloads and Streaming', 'Hispanic-Americans', 'Civil Rights and Liberties']"
"Food and Tour News: California Grape Stomp, Caribbean Coral Dives",2015-09-03,article,News,,['Travel and Vacations']
"Image of Drowned Syrian, Aylan Kurdi, 3, Brings Migrant Crisis Into Focus",2015-09-03,article,News,,"['Middle East and Africa Migrant Crisis', 'Maritime Accidents and Safety', 'Human Trafficking', 'Refugees and Displaced Persons', 'Smuggling']"
"Idris Elba Responds to Author, and Lets ‘the Street’ Do the Talking",2015-09-02,article,News,,"['Bond, James (Fictional Character)']"
California Heat Puts Farm Workers at Risk,2015-09-03,article,News,,"['Agriculture and Farming', 'Deaths (Fatalities)', 'Global Warming', 'Illegal Immigration', 'Organized Labor', 'Third World and Developing Countries', 'Weather', 'Workplace Hazards and Violations']"
Donald Young Comes From Behind by Not Looking Back,2015-09-02,article,News,,"['Tennis', 'United States Open (Tennis)']"
"La Monnaie, in Brussels, Names New Music Director",2015-09-02,article,News,,"['Classical Music', 'Opera']"
Two Exciting New Fall Shows for Richard Long,2015-09-01,article,News,,['Art']
Quotation of the Day,2015-09-03,article,Quote,,[]
A Temporary Answer to a Foster Child’s Biggest Question: Am I Going to School?,2015-09-01,article,News,,"['ADOPTIONS', 'Foster Care', 'Parenting']"
Fox Lake Mourns Police Officer as Search for Suspects Shifts,2015-09-03,article,News,,"['Attacks on Police', 'Murders, Attempted Murders and Homicides']"
"Explaining the Strange, Stinky Appeal of the ‘Corpse Flower’",2015-09-01,article,News,,"['Flowers and Plants', 'Gardens and Gardening']"
