headline,date,doc_type,material_type,section,keywords
Words That Do More Than Signify,2014-07-03,article,Review,,"['Art', 'Language and Languages', 'Sculpture']"
Two-Bean and Tuna Salad,2014-07-01,article,recipe,,"['Tuna', 'Salads', 'Beans', 'Recipes']"
Learned Macroeconomic Helplessness,2014-07-01,article,News,,[]
"What Is Jamaica, Queens, Named After?",2014-07-03,article,Question,,"['Parks and Other Recreation Areas', 'Names, Geographical']"
A Chef in the Field | Bok Choy,2014-07-02,article,News,,"['Cooking and Cookbooks', 'Recipes', 'Vegetables']"
Where the Christian Right Is Strong,2014-07-02,article,News,,"['Christians and Christianity', 'Evangelical Movement']"
Government of Ecuador Can Sue Fugitive Bankers in U.S.,2014-07-03,article,Brief,,"['Embezzlement', 'Suits and Litigation (Civil)']"
Soda Ban: Good Riddance,2014-07-01,article,Letter,,"['Soft Drinks', 'Law and Legislation']"
"Turkish Premier Runs for President, an Office He Plans to Strengthen",2014-07-01,article,News,,['Elections']
Thousands Beat Path to Queens Cemetery to Remember a Jewish Leader,2014-07-01,article,News,,"['Jews and Judaism', 'Hasidism', 'Rabbis']"
Popular For a Reason,2014-07-01,article,News,,[]
Your Thursday Briefing,2014-07-03,article,News,,[]
Empowering Words,2014-07-02,article,Review,,"['Declaration of Independence (US)', 'Books and Literature']"
Fair Compensation for G.M.’s Victims,2014-07-02,article,Editorial,,"['Reparations', 'Automobile Safety Features and Defects', 'Editorials']"
Word of the Day | fiat,2014-07-03,article,News,,[]
GTT ★,2014-07-03,article,News,,"['Music', 'Independence Day (US) (July 4)', 'Books and Literature', 'Country Music', 'Festivals']"
Israel’s Justice Minister Condemns ‘Incitement’ on Facebook,2014-07-02,article,News,,"['Palestinians', 'Social Media']"
Simona Halep Takes Away Zarina Diyas’s Forehand,2014-07-01,article,News,,"['Tennis', 'Wimbledon Tennis Tournament']"
Build We Won’t,2014-07-03,article,Op-Ed,,"['Infrastructure (Public Works)', 'Roads and Traffic', 'Federal Budget (US)', 'United States Politics and Government', 'Gasoline Tax (US)']"
Timeless Manipulators,2014-07-02,article,Letter,,['Social Media']
V.A. Nominee McDonald Faced Criticism at Procter & Gamble,2014-07-01,article,News,,['Veterans']
Americanos,2014-07-03,article,Review,,['Books and Literature']
Today in Small Business: Saving the Naked Bean,2014-07-03,article,News,,"['Entrepreneurship', 'Small Business', 'Start-ups']"
Assigning a Dollar Value to Being the Incumbent,2014-07-02,article,News,,"['Campaign Finance', 'Elections', 'United States Politics and Government', 'Lobbying and Lobbyists']"
A Mondrian for London,2014-07-03,article,News,,"['Hotels and Travel Lodgings', 'Travel and Vacations']"
"1914: Joseph Chamberlain, Veteran Statesman, Dies",2014-07-03,article,News,,['Deaths (Obituaries)']
