headline,date,doc_type,material_type,section,keywords
Welcome to the Second Quarter. Brace Yourself.,2020-04-01,article,News,,"['Coronavirus (2019-nCoV)', 'Delivery Services']"
On the Market in New York City,2020-04-02,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
"Living In ... Lewisboro, N.Y.",2020-04-01,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
Coronavirus Is Making the Public Pension Crisis Even Worse,2020-04-02,article,News,,"['Pensions and Retirement Plans', 'Taxation', 'Local Government', 'States (US)', 'Coronavirus (2019-nCoV)', 'Credit and Debt']"
What’s on TV Thursday: ‘The Virtues’ and ‘Blinded by the Light’,2020-04-02,article,News,,"['Television', 'Movies']"
"Corrections: April 2, 2020",2020-04-02,article,Correction,,[]
"After 94 Years, the Song Ends for the Turtle Bay Music School",2020-04-01,article,News,,"['Education (K-12)', 'Real Estate (Commercial)', 'Nonprofit Organizations', 'Music', 'Shutdowns (Institutional)']"
Coronavirus Coping: Novak Djokovic Is Playing Tennis With Frying Pans,2020-04-02,article,News,,['Coronavirus (2019-nCoV)']
7 Ways to Explore the Math of the Coronavirus Using The New York Times,2020-04-02,article,News,,[]
Inside Kim Kardashian’s Prison-Reform Machine,2020-04-02,article,News,,"['Criminal Justice', 'Prisons and Prisoners', 'Mandatory Sentencing', 'Television']"
"Animals, Sex and Guns? Eric Goode Knew ‘Tiger King’ Had Potential",2020-04-01,article,News,,"['Television', 'Documentary Films and Programs', 'Animal Abuse, Rights and Welfare', 'Tigers']"
"Former Hulu Boss Will Lead WarnerMedia, Home of HBO and CNN",2020-04-01,article,News,,"['APPOINTMENTS AND EXECUTIVE CHANGES', 'Television', 'Movies', 'News and News Media']"
"Corrections: April 2, 2020",2020-04-02,article,Correction,,[]
What’s on TV Thursday: ‘The Virtues’ and ‘Blinded by the Light’,2020-04-02,article,News,,"['Television', 'Movies']"
"Coronavirus, Global Recession, Wimbledon: Your Thursday Briefing",2020-04-02,article,briefing,,[]
Devin Nunes Says Decision to Cancel School in California Was ‘Overkill’,2020-04-01,article,News,,"['United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Epidemics', 'Quarantines', 'Education (K-12)', 'Labor and Jobs']"
‘Infrastructure Week’ Returns as Trump and Democrats Eye Post-Virus Jobs Plan,2020-04-01,article,News,,"['United States Politics and Government', 'Infrastructure (Public Works)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'United States Economy', 'Labor and Jobs', 'Law and Legislation', 'Coronavirus (2019-nCoV)']"
The Many Times It’s Been ‘Infrastructure Week’ in Washington,2020-04-02,article,News,,"['Infrastructure (Public Works)', 'United States Politics and Government', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus (2019-nCoV)']"
Fire at Bronx Apartment Building Kills 4,2020-04-01,article,News,,"['Fires and Firefighters', 'Deaths (Fatalities)']"
On the Market in New York City,2020-04-02,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
"After 94 Years, the Song Ends for the Turtle Bay Music School",2020-04-01,article,News,,"['Education (K-12)', 'Real Estate (Commercial)', 'Nonprofit Organizations', 'Music', 'Shutdowns (Institutional)']"
Coronavirus Coping: Novak Djokovic Is Playing Tennis With Frying Pans,2020-04-02,article,News,,['Coronavirus (2019-nCoV)']
7 Ways to Explore the Math of the Coronavirus Using The New York Times,2020-04-02,article,News,,[]
Making Art During a Pandemic: Theaters Seek and Share Mini-Plays,2020-04-01,article,News,,"['Theater', 'Coronavirus (2019-nCoV)', 'Writing and Writers', 'Quarantines', 'Finances']"
Coronavirus Is Making the Public Pension Crisis Even Worse,2020-04-02,article,News,,"['Pensions and Retirement Plans', 'Taxation', 'Local Government', 'States (US)', 'Coronavirus (2019-nCoV)', 'Credit and Debt']"
"Animals, Sex and Guns? Eric Goode Knew ‘Tiger King’ Had Potential",2020-04-01,article,News,,"['Television', 'Documentary Films and Programs', 'Animal Abuse, Rights and Welfare', 'Tigers']"
"Former Hulu Boss Will Lead WarnerMedia, Home of HBO and CNN",2020-04-01,article,News,,"['APPOINTMENTS AND EXECUTIVE CHANGES', 'Television', 'Movies', 'News and News Media']"
Why Won’t My Building Tell Me if a Resident Has Coronavirus?,2020-04-02,article,News,,"['Real Estate and Housing (Residential)', 'Coronavirus (2019-nCoV)', 'Privacy']"
How Do Lower Mortgage Rates Affect Your Buying Power?,2020-04-02,article,News,,"['Mortgages', 'Coronavirus (2019-nCoV)', 'Real Estate and Housing (Residential)']"
Poem: Bad Sons Anonymous,2020-04-02,article,News,,['Poetry and Poets']
