headline,date,doc_type,material_type,section,keywords
Betting on Default ,2015-01-03,article,Editorial,,"['Editorials', 'Hedge Funds', 'Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)', 'Recession and Depression', 'Credit Default Swaps', 'United States Economy', 'Regulation and Deregulation of Industry', 'Derivatives (Financial Instruments)']"
Hong Kong Slaughters Chickens After an Outbreak of Bird Flu,2015-01-03,article,News,,"['Avian Influenza', 'Chickens']"
A Royal Ride in Portugal,2015-01-02,article,News,,"['Cruises', 'Travel and Vacations']"
Weekend Entertainments From the Archives of The New York Times,2015-01-01,article,News,,"['Movies', 'Books and Literature']"
"Of Witches, the Forest and Field Hockey",2015-01-02,article,News,,['Theater']
"Mission Ends in Afghanistan, but Sacrifices Are Not Over for U.S. Soldiers",2015-01-01,article,News,,"['Afghanistan War (2001-14)', 'United States Defense and Military Forces', 'Veterans']"
Cops and Crime Versus Crumpets: Two Shows Reveal Two Britains,2015-01-01,article,News,,['Television']
Oscars 2015: A. O. Scott’s Picks,2015-01-02,article,News,,"['Movies', 'Academy Awards (Oscars)']"
A Ring Sparks Speculation That North Korean Leader’s Sister Has Married,2015-01-03,article,News,,['Marriages']
Cuba Again Arrests Artist Seeking Dissidents’ Release,2015-01-02,article,News,,"['Art', 'Human Rights and Human Rights Violations', 'Freedom of Speech and Expression']"
How the Civil War Created College Football,2015-01-01,article,News,,"['Athletics and Sports', 'Civil War (US) (1861-65)', 'College Athletics', 'Football']"
"Before Ball Drops, the Knicks Continue Their Own Descent",2015-01-01,article,News,,['Basketball']
Three Al Jazeera Journalists Remain in Jail After Egyptian Court Orders a Retrial,2015-01-01,article,News,,"['Freedom of the Press', 'News and News Media']"
Indianapolis Colts’ Offensive Line Remains Fluid,2015-01-03,article,News,,['Football']
It’s Her Freak Show Right Now ,2015-01-02,article,News,,"['Television', 'ACTORS AND ACTRESSES']"
Depiction of Lyndon B. Johnson in ‘Selma’ Raises Hackles,2015-01-01,article,News,,"['Civil Rights Movement (1954-68)', 'Movies']"
"Standouts in Tech: Drones, Virtual Reality, Instant Translation and A.I.",2015-01-01,article,News,,"['Virtual Reality (Computers)', 'Computers and the Internet', 'Artificial Intelligence', 'Translation and Interpreters', 'Science and Technology', 'Innovation']"
"Literature of India, Enshrined in a Series",2015-01-02,article,News,,"['Books and Literature', 'Book Trade and Publishing']"
