headline,date,doc_type,material_type,section,keywords
" After the Mayhem, Politics as Usual ",2015-05-02,article,Editorial,,"['Editorials', 'Aurora, Colo, Shooting (2012)', 'State Legislatures', 'Gun Control']"
‘Hard Earned’ Documents the Plight of the Working Poor,2015-05-02,article,News,,['Television']
Marco Rubio Courts Right on Iran and Immigration,2015-05-01,article,News,,"['Illegal Immigration', 'Immigration and Emigration', 'Nuclear Weapons']"
"Julianne Staino, John Heavey",2015-05-03,article,News,,['Weddings and Engagements']
"Review: ‘Six Rounds of Vengeance,’ in Vegas, No Actual Boxers Necessary",2015-05-03,article,Review,,['Theater']
Poverty Policy Truths,2015-05-02,article,News,,[]
"Lost in Nepal’s Quake, but Preserved in Photos",2015-05-01,article,News,,"['Archives and Records', 'Deaths (Fatalities)', 'Earthquakes', 'Historic Buildings and Sites', 'Photography']"
Amy Phillips and Elia Einhorn,2015-05-03,article,News,,['Weddings and Engagements']
Picking Up the Tab for Low Wages ,2015-05-01,article,Editorial,,"['Editorials', 'Medicaid', 'Food Stamps', 'Wages and Salaries', 'Labor and Jobs', 'Welfare (US)', 'Poverty', 'Minimum Wage']"
What Old Nazis Make Us Remember,2015-05-01,article,Op-Ed,,"['Holocaust and the Nazi Era', 'Concentration Camps', 'World War II (1939-45)', 'War Crimes, Genocide and Crimes Against Humanity']"
"Lovely Maria Wins Kentucky Oaks, Capping Comeback for Injured Trainer ",2015-05-02,article,News,,"['Kentucky Oaks Horse Race', 'Kentucky Derby', 'Horse Racing', 'Triple Crown (Horse Racing)', 'Jockeys, Drivers and Trainers', 'Horses']"
Ideology and Integrity,2015-05-01,article,Op-Ed,,"['Presidential Election of 2016', 'United States Politics and Government', 'News and News Media']"
Rangers’ Task Before Game 2: Forget Game 1,2015-05-01,article,News,,"['Hockey, Ice', 'Playoff Games']"
The End of Gaydar,2015-05-01,article,News,,"['Homosexuality and Bisexuality', 'Customs, Etiquette and Manners', 'Discrimination', 'Dating and Relationships']"
Strait of Hormuz Once Again at Center of U.S.-Iran Strife,2015-05-01,article,News,,"['Nuclear Weapons', 'Ships and Shipping', 'United States Defense and Military Forces']"
An Engaging Call Elevates Welterweight Title Bout Above Distractions,2015-05-03,article,News,,"['Television', 'Boxing']"
"Verne Gagne, Wrestler Who Grappled Through Two Eras, Dies at 89",2015-05-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Wrestling']"
Your Friday Briefing,2015-05-01,article,News,,[]
Munich Museum Is Another Step in Acknowledging the City’s Nazi Past,2015-05-01,article,News,,"['Holocaust and the Nazi Era', 'War Crimes, Genocide and Crimes Against Humanity', 'World War II (1939-45)', 'ANTI-SEMITISM']"
"Richard Suzman, 72, Dies; Researcher Influenced Global Surveys on Aging",2015-05-01,article,Obituary (Obit),,['Deaths (Obituaries)']
"China, Pursuing Strategic Interests, Builds Presence in Antarctica",2015-05-03,article,News,,"['Research', 'Krill', 'Global Warming']"
Clashes in Philadelphia as Freddie Gray Protest Neared Highway,2015-05-01,article,News,,"['Demonstrations, Protests and Riots', 'Police']"
"Katonah Museum of Art Celebrates Its Anniversary, Its Architect and Its Town",2015-05-02,article,News,,"['Art', 'ARCHITECTURE', 'Sculpture', 'Museums']"
"It’s Called the Met Gala, but It’s Definitely Anna Wintour’s Party",2015-05-03,article,News,,"['Parties (Social)', 'Culture (Arts)', 'Museums']"
Their First Date? At Ikea,2015-05-03,article,News,,['Weddings and Engagements']
Governor Christie’s People,2015-05-02,article,Editorial,,"['Editorials', 'Presidential Election of 2016']"
Women in Military Cite Retaliation After Assault Complaints,2015-05-01,article,News,,"['United States Defense and Military Forces', 'Sex Crimes']"
No-Fuss Hamptons Living,2015-05-01,article,News,,"['Real Estate and Housing (Residential)', 'Condominiums']"
"Mets Lose Game, but Not Their Patience, as the Calendar Turns ",2015-05-01,article,News,,['Baseball']
Strikes on Syria Tied to Deaths of 52 Civilians,2015-05-03,article,News,,"['Civilian Casualties', 'United States Defense and Military Forces']"
Nepal’s Bureaucracy Is Blamed as Earthquake Relief Supplies Pile Up,2015-05-03,article,News,,"['Earthquakes', 'Humanitarian Aid', 'Food Aid']"
"Reviews: Works by Rebecca Davis and Milka Djordjevich, and Lyon Opera Ballet",2015-05-02,article,Review,,['Dancing']
Marco Rubio Makes Generational Case for His Presidential Bid,2015-05-01,article,News,,"['Presidential Election of 2016', 'United States Economy', 'United States Politics and Government']"
Dave Goldberg Was Lifelong Women’s Advocate,2015-05-03,article,News,,"['Women and Girls', ""Women's Rights"", 'Books and Literature', 'Marriages']"
Kentucky Derby 2015: American Pharoah Wins a Close Race,2015-05-02,article,News,,"['Horse Racing', 'Triple Crown (Horse Racing)', 'Kentucky Derby']"
"Review: ‘Trisha Brown: In Plain Site,’ on Spring Street",2015-05-01,article,Review,,['Dancing']
American Dream? Or Mirage?,2015-05-01,article,Op-Ed,,"['Income Inequality', 'United States Economy', 'Income']"
U.S. Liable in New Orleans-Area Flooding,2015-05-02,article,News,,"['Hurricane Katrina (2005)', 'Levees and Dams', 'Floods', 'Suits and Litigation (Civil)', 'Decisions and Verdicts']"
1940: College Head Offers a Million for Capture of Hitler Alive,2015-05-01,article,News,,['World War II (1939-45)']
Colum McCann Work Is Set in Motion,2015-05-02,article,News,,['Dancing']
"Enchiladas, Tostadas and Tacos",2015-05-01,article,News,,"['Recipes', 'Salads']"
That Two-Foot Putt? Nothing to Concede ,2015-05-02,article,News,,['Golf']
Review: ‘The Wright Brothers’ by David McCullough,2015-05-03,article,Review,,"['Books and Literature', 'AIRLINES AND AIRPLANES']"
Fashion and Art at the New Whitney Museum,2015-05-01,article,News,,"['Fashion and Apparel', 'Art', 'Museums']"
Obama Pledges to Defend Democrats on Trade Deal,2015-05-01,article,News,,"['Trans-Pacific Partnership', 'International Trade and World Market', 'Elections, House of Representatives', 'Elections, Senate']"
Toronto F.C. Enduring Seven-Game Road Stretch to Start Season,2015-05-01,article,News,,"['Soccer', 'Stadiums and Arenas']"
"Paul Giordano, Simon Mathis",2015-05-03,article,News,,['Weddings and Engagements']
A Final Column,2015-05-01,article,News,,"['Bridge (Card Game)', 'Cards and Card Games']"
"‘The Battle of Versailles,’ by Robin Givhan",2015-05-01,article,Review,,"['Books and Literature', 'Fashion and Apparel']"
"Maimed Defending Afghanistan, Then Neglected",2015-05-02,article,News,,"['Afghanistan War (2001-14)', 'Disabilities', 'Deaths (Fatalities)', 'Terrorism', 'Bombs and Explosives']"
Student Loan Facts They Wish They Had Known,2015-05-01,article,News,,"['Financial Aid (Education)', 'Student Loans', 'Colleges and Universities']"
"Abducted as an Infant, Revisiting It as an Adult",2015-05-03,article,News,,['Kidnapping and Hostages']
"Speedy Drug Approvals Have Become the Rule, Not the Exception  ",2015-05-01,article,News,,"['Drugs (Pharmaceuticals)', 'Law and Legislation']"
Queens Man Charged With Assault and Attempted Murder in Shooting of Officer,2015-05-03,article,News,,"['Murders, Attempted Murders and Homicides', 'Attacks on Police']"
"Mayweather Wins, Preens and Is Booed",2015-05-03,article,News,,['Boxing']
"Third Horse, International Star, Is Scratched From Kentucky Derby",2015-05-02,article,News,,"['Horse Racing', 'Kentucky Derby']"
"At These Weddings, Forget the Rice, Bring Sneakers",2015-05-01,article,News,,"['Weddings and Engagements', 'Athletics and Sports', 'Exercise']"
"After Thousands Rally in Baltimore, Police Make Some Arrests as Curfew Takes Hold",2015-05-02,article,News,,"['Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots', 'Blacks', 'Black People']"
Atlanta Hawks’ Sculptors Were Shaped by San Antonio Experiences,2015-05-02,article,News,,['Basketball']
Antipasto Is the Overture to Breezy Italian-Style Entertaining,2015-05-01,article,News,,"['Cooking and Cookbooks', 'Vegetables', 'Salads']"
Review: ‘Penny Dreadful’ Returns for Season 2,2015-05-01,article,Review,,['Television']
"High Season Over, Now Is the Time for Beach Getaways",2015-05-01,article,News,,"['Travel and Vacations', 'Hotels and Travel Lodgings']"
"Start-Ups Try to Challenge Google, at Least on Mobile Search",2015-05-03,article,News,,"['Search Engines', 'Mobile Applications', 'Smartphones']"
"Amid Katmandu’s Earthquake Wreckage, Hints of a Shift to Safer Construction",2015-05-01,article,News,,"['Accidents and Safety', 'Building (Construction)', 'Concrete', 'Earthquakes', 'Engineering and Engineers', 'Social Media', 'Third World and Developing Countries']"
Chobani Puts Its Ad Money on Becoming a Lifestyle Brand,2015-05-01,article,News,,['ADVERTISING AND MARKETING']
"Kindred Spirits, Five Years in the Making",2015-05-01,article,News,,"['Vows (Times Column)', 'Weddings and Engagements']"
Have You Ever Lied to Your Parents or Done Something Behind Their Backs?,2015-05-01,article,News,,[]
"Corrections: May 3, 2015",2015-05-03,article,News,,[]
"Dave Isay of StoryCorps: A Place to Collect Stories, Not Admire the View",2015-05-02,article,News,,"['Workplace Environment', 'News and News Media', 'Radio', 'Archives and Records']"
Divestment Campaigns,2015-05-02,article,Letter,,"['Endowments', 'Colleges and Universities', 'Global Warming', 'Environment']"
"The Living Museum, on the Creedmoor Campus in Queens, Puts Patients’ Work on Display",2015-05-01,article,News,,"['Restaurants', 'Art', 'Museums']"
What We’re Reading,2015-05-01,article,News,,"['Assassinations and Attempted Assassinations', 'Coffeehouses', 'Computers and the Internet', 'E-Commerce', 'Income Inequality', 'Magazines', 'Newspapers']"
"Jury Finds Mistakes, Not Widespread Fraud, at Seedco Job Agency",2015-05-01,article,News,,"['Frauds and Swindling', 'Labor and Jobs']"
"The Bridge Scandal, Explained",2015-05-01,article,Question,,['George Washington Bridge Scandal (2013)']
Review: Meredith Monk Ends Carnegie Hall Run With Mystery and Mastery,2015-05-03,article,Review,,['Music']
"Elena Cucci, Jonathan Yochum",2015-05-03,article,News,,['Weddings and Engagements']
From ‘Hamlet’ to Hillary,2015-05-02,article,Op-Ed,,"['Presidential Election of 2016', 'Education', 'Humanities']"
"U.S. Ambassador to Turkey Says, ‘We’re All Blonde’",2015-05-01,article,News,,"['Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots', 'United States International Relations', 'Diplomatic Service, Embassies and Consulates']"
Quotation of the Day,2015-05-01,article,Quote,,[]
Homes for Sale in New York and New Jersey,2015-05-01,article,News,,['Real Estate and Housing (Residential)']
Long-Unheard Harlem Renaissance Opera Coming in June,2015-05-01,article,News,,"['Blacks', 'Black People', 'Opera']"
