headline,date,doc_type,material_type,section,keywords
"Somewhere Between a Shared Cab and a Private Jet, It’s the Commuter Helicopter",2020-02-01,article,News,,"['Helicopters', 'Commuting', 'Aviation Accidents, Safety and Disasters', 'High Net Worth Individuals', 'AIRLINES AND AIRPLANES']"
"Here’s the Latest in Nordic TV, Noir and Otherwise",2020-02-03,article,News,,['Television']
Stocks Sink as Markets Open in China,2020-02-02,article,News,,['Coronavirus (2019-nCoV)']
Requiem for a Dream,2020-02-01,article,Op-Ed,,"['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government']"
‘BoJack Horseman’ Ended With a Necessary Reckoning,2020-02-01,article,Op-Ed,,"['Television', '#MeToo Movement', 'Sexual Harassment']"
My Culture Is Not Super Bowl Entertainment,2020-02-01,article,Op-Ed,,"['Football', 'Mascots', 'War Crimes, Genocide and Crimes Against Humanity', 'Airport Security', 'Native Americans', 'Indigenous People']"
"Review: Going Beyond Beethoven, by Playing Works in His Shadow",2020-02-02,article,Review,,['Classical Music']
How the Chiefs Beat the 49ers to Win the Super Bowl,2020-02-02,article,News,,"['Football', 'Super Bowl']"
Questions for a Wedding D.J.,2020-02-01,article,News,,"['Music', 'Weddings and Engagements', 'Disc Jockeys']"
Jennifer Lopez and Shakira Restore Sparkle to Super Bowl Halftime,2020-02-03,article,Review,,"['Pop and Rock Music', 'Super Bowl']"
Fact-Checking Bernie Sanders Before the Iowa Caucuses,2020-02-01,article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Politics and Government']"
How Will the Winner of the Iowa Caucuses Be Chosen? Here’s What You Should Know,2020-02-01,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'News and News Media']"
Democratic Candidates Focus on All-Consuming Hunger to Unseat Trump,2020-02-01,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses']"
Why Jill Biden Is Taking Time Off to Help Her Husband Get a Job,2020-02-01,article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Primaries and Caucuses']"
"On Roofs or in Basements, a New Way to Ice Skate",2020-02-01,article,News,,"['Ice', 'Ice Skating', 'Hockey, Ice']"
Coronavirus Thwarts Business Travelers Who ‘Need to Be in the Room’,2020-02-01,article,News,,"['Coronavirus (2019-nCoV)', 'Business Travel', 'Epidemics', 'AIRLINES AND AIRPLANES', 'Travel Warnings']"
Australian Open: Sofia Kenin Defeats Garbiñe Muguruza for Her First Major Title,2020-02-01,article,News,,"['Australian Open (Tennis)', 'Tennis', 'AGE, CHRONOLOGICAL', 'Records and Achievements']"
Is the Black Quarterback Revolution Going to Last?,2020-02-02,article,News,,"['Football', 'Black People', 'Race and Ethnicity', 'Super Bowl']"
"In a Long History of Sexist Ads and Outrage, It’s the Apology That’s New",2020-02-01,article,News,,"['ADVERTISING AND MARKETING', '#MeToo Movement', 'Women and Girls', 'Discrimination', 'Social Media', 'Two Thousands (Decade)', ""Women's Rights"", 'Online Advertising']"
The Super Bowl Ads You Won’t See This Year,2020-02-01,article,Op-Ed,,"['Surveillance of Citizens by Government', 'Chronic Traumatic Encephalopathy', 'Super Bowl', 'Football']"
How a Clash of Egos Became Bigger Than Fixing the Subway,2020-02-03,article,News,,"['Transit Systems', 'Subways', 'Politics and Government', 'Buses', 'Delays (Transportation)']"
"Coronavirus Pummels Wuhan, a City Short of Supplies and Overwhelmed",2020-02-02,article,News,,"['Coronavirus (2019-nCoV)', 'Hospitals', 'Epidemics', 'Shortages']"
Can Democrats Beat Trump in Iowa in November?,2020-02-02,article,News,,"['Presidential Election of 2020', 'Voting and Voters']"
Super Bowl Movie Trailers Ranked From Best to Worst,2020-02-03,article,News,,"['Movies', 'Super Bowl']"
Australia’s Volunteer Firefighters Are Heroes. But Are They Enough?,2020-02-02,article,News,,"['Fires and Firefighters', 'Wildfires', 'Volunteers and Community Service', 'Rural Areas']"
Lesson of the Day: ‘These Images Show the Sun’s Surface in Greater Detail Than Ever Before’,2020-02-03,article,News,,"['Space and Astronomy', 'Sun', 'Telescopes and Observatories']"
Your Monday Briefing,2020-02-03,article,briefing,,[]
Americans Demand a Rethinking of the ‘Forever War’,2020-02-03,article,News Analysis,,"['United States Defense and Military Forces', 'United States International Relations', 'Terrorism', 'Iraq War (2003-11)', 'Afghanistan War (2001- )', 'September 11 (2001)', 'War and Emergency Powers (US)', 'War Powers Act (1973)']"
Roddy Ricch Returns to No. 1 With His Highest Streaming Total Yet,2020-02-03,article,News,,"['Rap and Hip-Hop', 'Pop and Rock Music']"
He Worked for Obama and Bloomberg. Could He Be N.Y.C.’s Next Mayor?,2020-02-03,article,News,,"['Elections, Mayors', 'Race and Ethnicity']"
Review: Poets Vie for the Golden Ticket in ‘Really Really Gorgeous’,2020-02-03,article,Review,,['Theater']
What We Learned in Kansas City’s Super Bowl Victory,2020-02-03,article,News,,"['Super Bowl', 'Football']"
‘I Feel Abandoned’: How Residents in Wuhan Are Coping With Coronavirus,2020-02-03,multimedia,Video,,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Quarantines', 'Shortages', 'Protective Clothing and Gear']"
‘Angels’ in Hell: The Culture of Misogyny Inside Victoria’s Secret,2020-02-01,article,News,,"['Models (Professional)', 'Lingerie and Underwear', 'Sexual Harassment', 'Women and Girls', 'Discrimination', 'Workplace Hazards and Violations']"
Would Your Wages Rise Under ‘Medicare for All’?,2020-02-03,article,News,,"['Health Insurance and Managed Care', 'Wages and Salaries', 'Employee Fringe Benefits', 'Medicare']"
"At the Super Bowl, the Political Was Debatable",2020-02-03,article,News,,"['Football', 'United States National Anthem Protests (2016- )', 'Police Brutality, Misconduct and Shootings', 'National Anthems', 'Super Bowl', 'Immigration and Emigration']"
"Jessica Mann, Weinstein Accuser, Breaks Down in Tears at Trial",2020-02-03,article,News,,"['Sex Crimes', '#MeToo Movement', 'Sexual Harassment', 'Women and Girls']"
NOAA Leaders Privately Disowned Agency’s Rebuke of Scientists Who Contradicted Trump,2020-02-01,article,News,,"['Hurricane Dorian (2019)', 'Hurricanes and Tropical Storms', 'United States Politics and Government']"
Democratic Candidates Focus on All-Consuming Hunger to Unseat Trump,2020-02-01,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses']"
Why Jill Biden Is Taking Time Off to Help Her Husband Get a Job,2020-02-01,article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Primaries and Caucuses']"
"New U.S. Travel Ban Shuts Door on Africa’s Biggest Economy, Nigeria",2020-02-03,article,News,,"['Visas', 'Remittances', 'Discrimination', 'Immigration and Emigration', 'Muslims and Islam', 'Executive Orders and Memorandums']"
"China, Desperate to Stop Coronavirus, Turns Neighbor Against Neighbor",2020-02-03,article,News,,"['Coronavirus (2019-nCoV)', 'Surveillance of Citizens by Government', 'Computers and the Internet', 'Epidemics']"
Requiem for a Dream,2020-02-01,article,Op-Ed,,"['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government']"
Stocks Sink as Markets Open in China,2020-02-02,article,News,,['Coronavirus (2019-nCoV)']
Lesson of the Day: ‘These Images Show the Sun’s Surface in Greater Detail Than Ever Before’,2020-02-03,article,News,,"['Space and Astronomy', 'Sun', 'Telescopes and Observatories']"
How the Chiefs Beat the 49ers to Win the Super Bowl,2020-02-02,article,News,,"['Football', 'Super Bowl']"
"Review: Going Beyond Beethoven, by Playing Works in His Shadow",2020-02-02,article,Review,,['Classical Music']
Americans Demand a Rethinking of the ‘Forever War’,2020-02-03,article,News Analysis,,"['United States Defense and Military Forces', 'United States International Relations', 'Terrorism', 'Iraq War (2003-11)', 'Afghanistan War (2001- )', 'September 11 (2001)', 'War and Emergency Powers (US)', 'War Powers Act (1973)']"
The Field: Iowa’s Electability Complex,2020-02-03,article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020']"
A Dishonorable Senate,2020-02-01,article,Editorial,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2020', 'United States Politics and Government']"
