headline,date,doc_type,material_type,section,keywords
London’s Newest Private Club Will Always Be at Least 51% British,2015-06-01,article,News,,"['Bars and Nightclubs', 'Health Clubs']"
1965: Viet Cong Suicide Unit Strikes,2015-06-01,article,News,,"['Bombs and Explosives', 'UNITED STATES', 'Vietnam War']"
"Who Is in Jail, and Who Should Be?",2015-06-03,article,Letter,,"['Prisons and Prisoners', 'Drug Abuse and Traffic', 'Sentences (Criminal)']"
"A Trio of Classic Cocktail Recipes, Made New Again With Trendy Añejo Tequila",2015-06-01,article,News,,"['ALCOHOLIC BEVERAGES', 'Cocktails', 'Tequila']"
The Risk of Over-Thanking Our Veterans,2015-06-01,article,Op-Ed,,"['Veterans', 'Disability Insurance', ""Workers' Compensation Insurance""]"
Nomad in Talks to Acquire Continental Europe Business of Findus,2015-06-03,article,Web Log,,"['Frozen Foods', 'Mergers, Acquisitions and Divestitures']"
"$1,350,000 Homes in Alabama, Pennsylvania and Ohio",2015-06-03,article,News,,['Real Estate and Housing (Residential)']
"Justices Get Out More, but Calendars Aren’t Open to Just Anyone",2015-06-01,article,News,,['Speeches and Statements']
Columbia Is Eliminated in Crushing Loss ,2015-06-02,article,News,,['Baseball (College)']
Lindsey Graham on the Issues,2015-06-01,article,News,,['Presidential Election of 2016']
O.E.C.D. Sees Slow Recovery Worldwide,2015-06-03,article,News,,"['Economic Conditions and Trends', 'United States Economy', 'Gross National Product (GNP)', 'Interest Rates', 'Unemployment']"
"Tired of Waiting for U.S. to Act, States Pass Crowdfunding Laws and Rules",2015-06-03,article,News,,"['Crowdfunding (Internet)', 'Small Business', 'States (US)', 'Regulation and Deregulation of Industry', 'Entrepreneurship']"
Fitbit Says It Plans to Price I.P.O. at $14 to $16 a Share,2015-06-02,article,News,,"['Initial Public Offerings', 'Wearable Computing', 'Stocks and Bonds', 'Medicine and Health']"
"Marco Rubio, in Generational Argument, Faults ‘Outdated Leaders’",2015-06-02,article,News,,"['Economic Conditions and Trends', 'Presidential Election of 2016']"
Review: The Western Wind Performs ‘L’Amfiparnaso’ at a Distance,2015-06-01,article,Review,,"['Music', 'Theater']"
"Review: Girlpool, in ‘Before the World Was Big,’ Grows Up and Loud",2015-06-01,article,Review,,['Music']
"Majority of New York Voters Dissatisfied With State Government, Poll Finds",2015-06-03,article,News,,"['Polls and Public Opinion', 'Corruption (Institutional)', 'State Legislatures']"
