headline,date,doc_type,material_type,section,keywords
The Other Pre-Game Show,2014-02-02,article,News,,"['Fashion and Apparel', 'Football', 'Parties (Social)', 'Super Bowl']"
The Masculine Mistake,2014-02-01,article,Op-Ed,,"['Men and Boys', 'United States Politics and Government', 'Gender']"
El Salvador and Costa Rica Hold Presidential Elections,2014-02-03,article,News,,['Elections']
"Theodore Millon, Psychologist and Student of Personality, Dies at 85",2014-02-01,article,Obituary (Obit),,"['Psychology and Psychologists', 'Narcissism', 'Deaths (Obituaries)']"
Teaching Kids How to Eat,2014-02-01,article,Letter,,"['Children and Childhood', 'Obesity', 'Parenting', 'Diet and Nutrition']"
"No Malfunctions at Halftime, Just Safe Entertainment",2014-02-03,article,Review,,"['Super Bowl', 'Music', 'Football']"
Alvin Ailey to Return to Koch Theater in June,2014-02-03,article,News,,['Dancing']
Q. and A. With Stuart Elliott,2014-02-03,article,News,,['ADVERTISING AND MARKETING']
"At DC, Comic Book Covers Get Cross-Marketing Role",2014-02-03,article,News,,"['Comic Books and Strips', 'ADVERTISING AND MARKETING', 'Toys']"
"No Friend to Mayors, a Groundhog Leaves de Blasio Empty-Handed",2014-02-03,article,News,,"['Groundhogs', 'Winter (Season)']"
Lloyds Bank to Take £1.9 Billion in Added Charges,2014-02-03,article,News,,"['Banking and Financial Institutions', 'Insurance']"
"Millions of Immigrants, but Only a Few in Office",2014-02-01,article,Letter,,"['Immigration and Emigration', 'United States Politics and Government']"
A Pro-Business Stance That’s Bad for Business,2014-02-02,article,News,,"['Shale', 'Natural Gas', 'Chemicals', 'Greenhouse Gas Emissions', 'Drilling and Boring']"
Republicans Vague on Citizenship Question,2014-02-02,article,News,,[]
"Quotation of the Day for Sunday, February 2, 2014",2014-02-02,article,Quote,,[]
The New Bern Raid,2014-02-02,article,News,,"['Civil War (US) (1861-65)', 'Ships and Shipping']"
You’re a Suspect. That’s the Drill.,2014-02-03,article,Review,,['Theater']
"Philip Seymour Hoffman, R.I.P.",2014-02-03,article,News,,['ACTORS AND ACTRESSES']
A Doctor Bridging Arts and Sciences,2014-02-03,article,Review,,"['Art', 'Medicine and Health', 'Books and Literature']"
A Farm’s Lessons in Long-Term Planning,2014-02-03,article,News,,['Personal Finances']
A Mexican Bicyclist’s Death,2014-02-01,article,Letter,,"['Traffic Accidents and Safety', 'Mexican-Americans', 'Deaths (Fatalities)']"
Ask the Author: Economics and Online Dating,2014-02-03,article,News,,['Online Dating']
A Life After Prison,2014-02-01,article,Letter,,"['Crime and Criminals', 'Prisons and Prisoners']"
A Tradition of Stars With Something to Say,2014-02-01,article,News,,"['Football', 'Super Bowl']"
Wheelies: The Small Car Smashup Edition,2014-02-01,article,News,,"['Automobiles', 'Automobile Safety Features and Defects', 'Small Cars (Compact, Subcompact and Microcars)']"
"Tracy High, Roman Johnson",2014-02-02,article,News,,['Weddings and Engagements']
"‘The Big Picture,’ in Any Language",2014-02-03,article,News,,"['Football', 'Super Bowl', 'Television', 'Language and Languages']"
The Work Before the Parachute Jump,2014-02-01,article,Question,,"['Parachutes and Parachute Jumping', 'Careers and Professions', 'Labor and Jobs', 'United States Defense and Military Forces']"
‘Girls’ Recap:  Kicked Out of a  Funeral,2014-02-02,article,News,,"['Navel (Body Part)', 'Weight']"
"The Great Recession: Causes and Consequences, 2/03/14",2014-02-02,article,News,,[]
Big-Band Lover Has a Second Houseful of Old Songs,2014-02-03,article,News,,"['Collectors and Collections', 'Jazz', 'Musical Instruments', 'Music']"
"Abortions Declining in U.S., Study Finds",2014-02-02,article,News,,"['ABORTION', 'Birth Control and Family Planning', 'Research']"
"Christie Will Speak at CPAC, Which Snubbed Him Last Year",2014-02-03,article,News,,['Presidential Election of 2016']
"Nets’ Williams Gets Start, but Pacers Hold On at End",2014-02-02,article,News,,['Basketball']
When Tickets to Super Bowl Lead to Front Row Seats in Jail,2014-02-01,article,News,,"['Super Bowl', 'Counterfeit Merchandise', 'Football']"
Full Picture of Airlines’ Punctuality Is Elusive,2014-02-03,article,News,,"['Delays (Transportation)', 'AIRLINES AND AIRPLANES']"
Chris Christie Returns to High School,2014-02-03,article,News,,[]
The Great Mystery of Chinese New Year,2014-02-03,article,News,,"['Americans Abroad', 'Birth Control and Family Planning', 'Labor and Jobs', 'Lunar New Year', 'Parenting', 'Small Business']"
Palestinian Leader Seeks NATO Force in Future State,2014-02-03,article,News,,"['Palestinians', 'International Relations', 'Israeli Settlements']"
Dylan Farrow’s Story,2014-02-01,article,Op-Ed,,"['Child Abuse and Neglect', 'Sex Crimes', 'Golden Globes (Awards)']"
What’s on Monday,2014-02-03,article,Schedule,,[]
Kravis and Gordon Gekko at the Super Bowl,2014-02-03,article,News,,"['Mergers, Acquisitions and Divestitures', 'Super Bowl']"
"Indians Protest, Saying a Death Was Tied to Bias",2014-02-01,article,News,,"['Demonstrations, Protests, and Riots', 'Discrimination']"
An Open Letter From Dylan Farrow,2014-02-01,article,News,,[]
Study Details Graft in European Union ,2014-02-03,article,News,,"['Corruption (Institutional)', 'Politics and Government', 'Building (Construction)', 'Government Procurement']"
"Super Bowl Tickets Are a Bargain at More Than $2,000",2014-02-01,article,News,,"['Football', 'Super Bowl', 'Prices (Fares, Fees and Rates)']"
The Value of Ripeness,2014-02-03,article,Question,,"['Fruit', 'Vitamins', 'Diet and Nutrition']"
Super Bowl XLVIII Matchup: Seahawks vs. Broncos,2014-02-01,article,News,,"['Football', 'Super Bowl']"
"Winning Lottery Numbers for Feb. 1, 2014",2014-02-02,article,List,,['Lotteries']
N.B.A. Game of the Week: Gauging Western Contenders,2014-02-03,article,News,,['Basketball']
New York Today: Get Out the Snow Shovel. Again.,2014-02-03,article,News,,[]
"In China, ‘Once the Villages Are Gone, the Culture Is Gone’",2014-02-02,article,News,,"['Culture (Arts)', 'Land Use Policies', 'Rural Areas', 'Urban Areas', 'Music', 'Golf', 'Series']"
Disruptions: Paying to Travel in the Internet’s Fast Lanes,2014-02-02,article,News,,"['Computers and the Internet', 'Net Neutrality']"
"A Mayor Most Everybody Looks Up To, Even When He Slouches",2014-02-02,article,News,,"['Height (Stature)', 'Mayors']"
Aid for Students With a Dream,2014-02-01,article,Editorial,,"['Financial Aid (Education)', 'Tuition', 'Dream Act (Development, Relief and Education for Minors Act)', 'Editorials', 'Colleges and Universities', 'Illegal Immigration', 'Education (Secondary)']"
News From the Advertising Industry for the Week of Feb. 3,2014-02-03,article,News,,['ADVERTISING AND MARKETING']
Major Volcanic Eruption Kills at Least 14 in Indonesia,2014-02-01,article,News,,"['Volcanoes', 'Deaths (Fatalities)']"
Political Candidate’s Aides Die in Afghanistan Attack,2014-02-01,article,News,,"['Assassinations and Attempted Assassinations', 'Elections', 'Murders and Attempted Murders']"
Seeking Views From Your High or Low Perch,2014-02-03,article,News,,['Height (Stature)']
Behind the Cover Story: James Vlahos on the United States of Sports Betting,2014-02-03,article,News,,"['Football', 'Gambling']"
"Sherman Quiet, but Rest of Seattle Defense Has a Lot to Say ",2014-02-03,article,News,,"['Football', 'Super Bowl']"
"The Pregnancy Is Gone, but the Promotions Keep Coming",2014-02-02,article,News,,"['Grief (Emotion)', 'Infertility', 'Parenting', 'Pregnancy and Childbirth']"
"Months After Typhoon, Philippine City Suffers From an Exodus of Jobs",2014-02-03,article,News,,"['Typhoon Haiyan (2013)', 'Electric Light and Power', 'Labor and Jobs']"
A Circus of Intimate Sensation,2014-02-03,article,Review,,['Theater']
A New Way to Rein In Fat Cats,2014-02-03,article,Op-Ed,,"['Government Procurement', 'Executive Compensation', 'Minimum Wage', 'United States Politics and Government']"
‘Wolf’s’ Writer Avoids His Own Spoiler Alerts,2014-02-03,article,News,,['Movies']
At Work in Subzero Temperatures,2014-02-03,article,News,,[]
Herbalife Increases Share Buyback Plan,2014-02-03,article,News,,"['Diet and Nutrition', 'Hedge Funds', 'Ponzi and Pyramid Schemes']"
"A Proud Daughter Sways to Her Own Beat, While Dancing With Her Past",2014-02-03,article,Review,,['Music']
"Heroin Scheme to Support Terrorism Is Foiled, Police in India Say",2014-02-03,article,Brief,,"['Terrorism', 'Heroin', 'Drug Abuse and Traffic']"
North Korea Agrees to Talks on Reunions,2014-02-03,article,News,,"['International Relations', 'Korean War']"
Gov. Cuomo’s Cleanup Campaign,2014-02-03,article,Editorial,,"['Campaign Finance', 'Elections, Governors', 'Corruption (Institutional)', 'State Legislatures', 'Editorials']"
"Test Yourself | E.L.L. Practice, Feb. 3, 2014",2014-02-03,article,News,,[]
You Could Call It Theater of the Cabsurd,2014-02-02,article,Review,,"['Theater', 'Taxicabs and Taxicab Drivers']"
Fight Over Effective Teachers Shifts to Courtroom,2014-02-01,article,News,,"['Teachers and School Employees', 'Education (K-12)', 'Tenure', 'Suits and Litigation (Civil)']"
Hacker Group Accuses Merkel Government of Helping to Spy,2014-02-03,article,Brief,,"['Surveillance of Citizens by Government', 'Cyberattacks and Hackers']"
Times Minute | A Push for Pre-K,2014-02-03,article,News,,['Education (Pre-School)']
Macroeconomic Populism Returns,2014-02-01,article,News,,[]
"Losing Their Religion, and What’s Next",2014-02-03,article,Review,,"['Television', 'AMISH']"
Bernanke Starts New Role as Yellen Takes Fed Helm,2014-02-03,article,News,,['Appointments and Executive Changes']
Ex-Chicago Mayor Daley Still in Intensive Care,2014-02-02,article,News,,['Mayors']
Muti Signs New Contract With Chicago Symphony Orchestra,2014-02-03,article,News,,[]
Pipeline Opponents’ Hopes Now Rest Largely on Kerry,2014-02-01,article,News,,"['Greenhouse Gas Emissions', 'Keystone Pipeline System', 'Environment', 'Oil Sands']"
Fund-Raising by G.O.P. Rebels Outpaces Party Establishment,2014-02-01,article,News,,"['United States Politics and Government', 'Political Action Committees', 'Elections, Senate', 'Elections, House of Representatives', 'Campaign Finance']"
"Give Malta Your Tired and Huddled, and Rich",2014-02-01,article,News,,"['Citizenship and Naturalization', 'Passports']"
"James Hotter Than Anthony, and the Knicks Lose",2014-02-02,article,News,,['Basketball']
"Placed on Unpaid Leave, a Pregnant Employee Finds Hope in a New Law",2014-02-03,article,News,,"['Pregnancy and Childbirth', 'Labor and Jobs', 'Law and Legislation', 'Paid Time Off']"
Goldman’s Charitable Foundation Chief to Lead Urban Investment Group,2014-02-03,article,News,,['Appointments and Executive Changes']
Founding Editor Is Dismissed as Head of El Mundo,2014-02-02,article,News,,['Newspapers']
Room for Small Deals on Tax Policy,2014-02-03,article,News,,"['Corporate Taxes', 'Education (Pre-School)', 'Federal Budget (US)', 'Federal Taxes (US)', 'Income Tax', 'Retirement', 'Savings', 'State of the Union Message (US)', 'Tax Credits, Deductions and Exemptions', 'United States Politics and Government']"
Back to Job Hunt After Sharing State of the Union Spotlight,2014-02-03,article,News,,"['Labor and Jobs', 'State of the Union Message (US)', 'United States Economy']"
A Waiting Game After the Super Bowl: Hours in Line for the Train,2014-02-03,article,News,,"['Super Bowl', 'Football', 'Delays (Transportation)', 'Railroads']"
SAC Fashioning a New Identity,2014-02-03,article,News,,[]
"Corrections: February 2, 2014",2014-02-02,article,News,,[]
The Gospel According to Paul,2014-02-01,article,Op-Ed,,"['United States Politics and Government', 'Presidential Election of 2016']"
Nocturnalist at the Super Bowl | An Extraordinary Hassle for an Extraordinary Party,2014-02-03,article,News,,"['Football', 'Parties (Social)', 'Super Bowl']"
A Frenchman Finds It’s True. They Really Are Out to Get Him.,2014-02-03,article,Review,,['Books and Literature']
Unlikely Allies Seek to Check Power of Activist Hedge Funds,2014-02-03,article,News,,"['Shareholder Rights and Activism', 'Stocks and Bonds']"
"Protesters Disrupt Thai Voting, Forcing Additional Elections",2014-02-02,article,News,,"['Elections', 'Demonstrations, Protests, and Riots']"
