headline,date,doc_type,material_type,section,keywords
"Joan Mondale, Who Merged Politics With Art, Dies at 83",2014-02-03,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Art', 'United States Politics and Government']"
Stir-Fried Soba Noodles With Shiitakes and Baby Broccoli,2014-02-03,article,recipe,,"['Cooking and Cookbooks', 'Diet and Nutrition']"
"After Risqué Years, Super Bowl Commercials Go Warm and Fuzzy",2014-02-03,article,News,,"['ADVERTISING AND MARKETING', 'Super Bowl', 'Television', 'Football', 'Online Advertising']"
Smith Ends Up in Right Place to Be M.V.P.,2014-02-03,article,News,,"['Football', 'Super Bowl']"
"A Master of Percussion, in Its Sounds and Gestures",2014-02-03,article,Review,,['Music']
Latest Sites of Breaches in Security Are Hotels,2014-02-01,article,News,,"['Hotels and Travel Lodgings', 'Personal Finances', 'Credit Cards', 'Cyberattacks and Hackers', 'Identity Theft']"
An Unconventional Path to Scripting the Broncos’ Offense,2014-02-01,article,News,,['Football']
Reaction Time May Predict Longevity,2014-02-03,article,News,,['Deaths (Fatalities)']
Pictures of the Day: Australia and Elsewhere,2014-02-03,article,News,,['Photography']
New Opposition Merger Founders in South Africa,2014-02-03,article,News,,['Elections']
Checkout Counter Staple,2014-02-02,article,News,,['Crossword Puzzles']
‘Frozen’ Takes Top Prize at Animation Awards,2014-02-03,article,News,,['Movies']
Magic Carpets,2014-02-03,article,News,,[]
"So Long, It’s Been Good to Know You, Pete Seeger",2014-02-01,article,News,,"['Folk Music', 'Mountains', 'Music', 'Seasons and Months']"
Unpublished Chaplin Novella to Be Released,2014-02-03,article,News,,[]
A Hard Climate for Penguins and Butterflies,2014-02-03,article,News,,"['Butterflies and Moths', 'Penguins', 'Global Warming', 'Stem Cells', 'Neanderthal Man']"
"Corrections: February 1, 2014",2014-02-01,article,Correction,,[]
Feisty Opera Impresario Regrets Lost Opportunity,2014-02-02,article,Review,,"['Opera', 'Classical Music']"
"Warm Weather, Cold Manning at Super Bowl",2014-02-03,article,News,,"['Weather', 'Super Bowl', 'Football']"
"Changing Circumstances, Graphed",2014-02-03,article,News,,[]
"Amid the Wreckage of the Broncos, Sports Books Strike Gold",2014-02-03,article,News,,"['Football', 'Gambling', 'Super Bowl']"
Unionized College Athletes?,2014-02-01,article,Op-Ed,,"['College Athletics', 'Organized Labor', 'Football (College)']"
"Paul Allen, the Seahawks’ Man in the Shadows, Shows Them the Light",2014-02-01,article,News,,['Football']
Making a Dramatic Case for a Soviet-Era Composer,2014-02-02,article,Review,,"['Classical Music', 'Music']"
Super Bowl Casts Shadow Over Movie Box Office,2014-02-02,article,News,,['Movies']
Ringing in the Chinese Zodiac’s Year of the Horse,2014-02-02,article,Review,,"['Classical Music', 'Music']"
Gyora Benedek’s Hidato,2014-02-03,article,News,,"['Creativity', 'Mathematics', 'Puzzles', 'Sudoku (Puzzle)']"
"The Beatles’ Visit, Revisited",2014-02-03,article,News,,"['Photography', 'Rock Music']"
First Event of Sochi Olympics: The Hotel Construction Sprint,2014-02-03,article,News,,"['Olympic Games (2014)', 'Building (Construction)']"
A Screamer at the Museum of Modern Art,2014-02-03,article,News,,"['Children and Childhood', 'Crying', 'Museums']"
Carly Rae Jepsen Takes a ‘Cinderella’ Risk,2014-02-03,article,News,,"['Theater', 'Music']"
"At the Town in the Middle, Super Bowl Loyalties Are Difficult to Nail Down",2014-02-01,article,News,,"['Football', 'Super Bowl']"
A Family of Punters Demonstrates the Heredity of Hang Time,2014-02-01,article,News,,['Football']
The Economic Road Ahead,2014-02-01,article,Editorial,,"['United States Economy', 'Editorials', 'Minimum Wage', 'Unemployment Insurance']"
"Phoning From Prison, at Prices Through the Roof",2014-02-01,article,News,,"['Prisons and Prisoners', 'Prices (Fares, Fees and Rates)', 'Telephones and Telecommunications', 'Regulation and Deregulation of Industry']"
Detroit Sues to Cancel Some Costly Contracts,2014-02-01,article,News,,"['Bankruptcies', 'Suits and Litigation (Civil)']"
Rihanna Joins Viva Glam by MAC to Fight AIDS,2014-02-03,article,News,,"['Cosmetics and Toiletries', 'ACQUIRED IMMUNE DEFICIENCY SYNDROME', 'Music']"
Letters to the Editor,2014-02-01,article,Letter,,"['Soccer', 'Sports Injuries']"
Cutting Straight to the Chase With Dessert,2014-02-03,article,Review,,"['Desserts', 'Restaurants']"
"As the Latest Christie Story Evolved, The Times Should Have Noted a Change",2014-02-03,article,News,,[]
What G.O.P.-Style Reform Looks Like,2014-02-01,article,Editorial,,"['Patient Protection and Affordable Care Act (2010)', 'Health Insurance and Managed Care', 'United States Politics and Government', 'Editorials']"
Preschool’s Benefits Extend to Parents,2014-02-03,article,News,,"['Children and Childhood', 'Education (Pre-School)', 'Head Start Program', 'Parenting']"
U.S. Skates to 6th Place in Bandy Tournament,2014-02-03,article,News,,"['Hockey, Ice']"
World’s No. 2 Player Ready to Challenge for the Top Spot,2014-02-02,article,News,,['Chess']
Strahan Is Among 7 Elected to the Pro Football Hall of Fame,2014-02-02,article,News,,"['Football', 'Halls of Fame']"
A Souvenir and a Memory,2014-02-03,article,News,,['Soccer']
A Ghastly Injustice in India,2014-02-01,article,Editorial,,"['Women and Girls', 'Sex Crimes', 'Editorials']"
Kicking Off the Lunar New Year,2014-02-01,article,News,,['Lunar New Year']
Hedge Fund Chief Makes a Lonely Bet Against Portugal’s Debt,2014-02-03,article,News,,"['European Sovereign Debt Crisis (2010- )', 'Government Bonds']"
"Maximilian Schell, Oscar-Winning Actor in ‘Nuremberg,’ Dies at 83",2014-02-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Movies', 'ACTORS AND ACTRESSES']"
The Dangers of Certainty: A Lesson From Auschwitz,2014-02-03,article,News,,"['Concentration Camps', 'Ethics (Personal)', 'Philosophy', 'Television']"
Golden Eyes,2014-02-03,article,News,,[]
No Comment Necessary: Coca Cola’s Super Bowl Ad,2014-02-03,article,News,,['ADVERTISING AND MARKETING']
An Olympian Snow Endeavor in Sochi,2014-02-03,article,News,,"['Olympic Games (2014)', 'Snow and Snowstorms', 'Skiing']"
"Underworld Notes, in the Homeric Sense",2014-02-02,article,Review,,['Dancing']
"After Burying Thousands, a Gravedigger Retires",2014-02-03,article,News,,['Cemeteries']
Glitches in State Exchanges Give G.O.P. a Cudgel,2014-02-01,article,News,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'States (US)']"
A Library for Obama First Needs an Address,2014-02-01,article,News,,"['Libraries and Librarians', 'United States Economy']"
Documents in New Jersey Bridge Scandal Set to Start Pouring In,2014-02-03,article,News,,['George Washington Bridge']
Funds Meant for Charters May Be Diverted to Pre-K,2014-02-01,article,News,,"['Charter Schools', 'Education (Pre-School)', 'Budgets and Budgeting', 'Education (K-12)']"
"$300,000 Robbed From Armored Car",2014-02-01,article,News,,['Robberies and Thefts']
Safety Agency Says 22 Million Vehicles Recalled in 2013,2014-02-03,article,News,,"['Automobile Safety Features and Defects', 'Automobiles', 'Recalls and Bans of Products']"
"Winning Lottery Numbers for Feb. 2, 2014",2014-02-03,article,List,,['Lotteries']
Callahan Trade Talk Overshadows Victory,2014-02-01,article,News,,"['Hockey, Ice']"
"Weekly News Quiz | Jan. 28-Feb. 3, 2014",2014-02-03,article,News,,[]
"Quotation of the Day for Monday, February 3, 2014",2014-02-03,article,News,,[]
A Life Full of Dreams That Are Now Coming True,2014-02-03,article,Review,,"['Music', 'American Songbook (Music Series)', 'Theater']"
Tax Expert Sees Abuse in a Stream of Private Equity Fees,2014-02-03,article,News,,"['Federal Taxes (US)', 'Private Equity']"
Testing of Olive Oil,2014-02-01,article,Letter,,"['Olive Oil', 'Production']"
Detention and Deportation,2014-02-03,article,Letter,,"['Immigration Detention', 'Deportation']"
When Pedestrians Get Mixed Signals,2014-02-01,article,Op-Ed,,"['Jaywalking', 'Traffic Accidents and Safety', 'Walking']"
Stir-Fried Brown Rice With Red Chard and Carrots,2014-02-03,article,recipe,,"['Cooking and Cookbooks', 'Diet and Nutrition', 'Recipes']"
"As Ukraine’s President Returns From Leave, His Options Seem Dismal",2014-02-03,article,News,,"['Demonstrations, Protests, and Riots']"
How Inequality Hollows Out the Soul,2014-02-02,article,News,,"['Anxiety and Stress', 'Income Inequality', 'Mental Health and Disorders', 'Psychology and Psychologists']"
Law Doesn’t End Revolving Door on Capitol Hill,2014-02-01,article,News,,"['Conflicts of Interest', 'Lobbying and Lobbyists', 'United States Politics and Government']"
Tech’s Diversity Problem Is Apparent as Early as High School,2014-02-02,article,News,,"['Blacks', 'Black People', 'Computers and the Internet', 'Education (K-12)', 'Equal Educational Opportunities', 'Hispanic-Americans', 'Tests and Examinations', 'Women and Girls']"
Cataclysm Has Arrived: Man’s Inhumanity to Nature,2014-02-02,article,Review,,"['Books and Literature', 'Endangered and Extinct Species']"
The Middle Class Is Steadily Eroding. Just Ask the Business World.,2014-02-03,article,News,,"['Consumer Behavior', 'Economic Conditions and Trends', 'Shopping and Retail', 'Income Inequality', 'United States Economy']"
"Even Out of Office, a Wielder of Great Power in Yemen",2014-02-01,article,News,,"['Middle East and North Africa Unrest (2010- )', 'Terrorism']"
Halftime Brings a Much-Anticipated ‘Seinfeld’ Reunion,2014-02-03,article,News,,"['Super Bowl', 'Football']"
Writers Guild Crowns ‘Her’ and ‘Captain Phillips’,2014-02-02,article,News,,['Movies']
"Richard Grossman, Crusading Publisher of 1960s, Dies at 92",2014-02-02,article,Obituary (Obit),,"['Books and Literature', 'Automobile Safety Features and Defects', 'Deaths (Obituaries)', 'Automobiles']"
Trying to See Apple From a Different Angle,2014-02-01,article,News,,"['iPhone', 'Stocks and Bonds', 'Company Reports']"
Affordable Housing,2014-02-01,article,Letter,,"['Affordable Housing', 'Real Estate and Housing (Residential)', 'Public and Subsidized Housing', 'Rent Control and Stabilization', 'Area Planning and Renewal']"
Denver’s Offense (Unstoppable) vs. Seattle’s Defense (Unmovable),2014-02-01,article,News,,"['Football', 'Super Bowl']"
"Not Quite 75 and Sunny, but a Mild Day Dispels the Worries About the Weather ",2014-02-03,article,News,,"['Weather', 'Football', 'Super Bowl']"
Enlisting Dad to Find a First Bra,2014-02-03,article,News,,"['Lingerie and Underwear', 'Women and Girls', 'Parenting', 'Baby Boomers', 'Widows and Widowers']"
"These Two Leap to Judgment (Not That You Should, Too)",2014-02-03,article,Review,,['Theater']
"How de Blasio Measures Up on the Court, Field and Ice",2014-02-01,article,News,,"['Baseball', 'Basketball', 'Football']"
"Employees Get To Vote, Too?",2014-02-03,article,News,,[]
"Friends Are Nice, but Their Checks Are What Matter",2014-02-02,article,News,,"['Campaign Finance', 'Elections, Governors']"
"Raymond Weil, Whose Swiss Watches Told More Than Time, Dies at 87",2014-02-03,article,Obituary (Obit),,"['Watches and Clocks', 'Deaths (Obituaries)']"
"Super Bowl Security Breach Comes After Game, in an Interrupted News Conference ",2014-02-03,article,News,,"['Super Bowl', 'Security and Warning Systems', 'Football', 'Stadiums and Arenas']"
"New CDs From Broken Bells, Toni Braxton and Babyface",2014-02-03,article,Review,,['Music']
F.C.C. Says It Will Double Spending on High-Speed Internet in Schools and Libraries,2014-02-02,article,News,,"['Computers and the Internet', 'Libraries and Librarians', 'Education (K-12)']"
He’s Pete Carroll’s Guardian Tweeter,2014-02-01,article,News,,['Football']
Montagu to Buy Bulk of Rexam’s Health Care Business,2014-02-03,article,News,,"['Containers and Packaging', 'Medical Devices', 'Mergers, Acquisitions and Divestitures', 'Private Equity']"
Mitch Landrieu Is Re-elected Mayor of New Orleans,2014-02-02,article,News,,"['Elections, Mayors']"
"Super Bowl Underscores the Big Business of Must-See, Live TV",2014-02-02,article,News,,"['Super Bowl', 'Ratings (Audience Measurement)', 'Television', 'Grammy Awards', 'Golden Globes (Awards)', 'Academy Awards (Oscars)', 'Football']"
1959: Oslo’s Worry: What Will Tourists Think?,2014-02-01,article,News,,"['Bars and Nightclubs', 'Travel and Vacations']"
The Week’s Men’s College Basketball Games to Watch,2014-02-03,article,News,,['Basketball (College)']
"A Swift and Fatal Luge Plunge, and Then an Abyss of Sorrow",2014-02-01,article,News,,"['Olympic Games (2014)', 'Olympic Games (2010)', 'Deaths (Fatalities)', 'Luge Racing']"
Sudan Tells Red Cross to Halt Work ,2014-02-03,article,News,,"['Humanitarian Aid', 'War Crimes, Genocide and Crimes Against Humanity']"
Atlanta In New Jersey (Personal and Trivial),2014-02-03,article,News,,[]
Obama Is Tackled by O’Reilly in Pre-Game Interview,2014-02-03,article,News,,"['Patient Protection and Affordable Care Act (2010)', 'Federal Taxes (US)', 'Super Bowl', 'Football']"
Snacks Laced With Marijuana Raise Concerns,2014-02-01,article,News,,"['Marijuana', 'Children and Childhood', 'Food']"
Toil and Trouble,2014-02-01,article,News,,"['Crossword Puzzles', 'Theater']"
Both Sides Declare P.R. Victory in Skirmish Over SodaStream Super Bowl Ad,2014-02-03,article,News,,['Israeli Settlements']
Men’s Watches that Stop the Hands of Time,2014-02-03,article,News,,[]
Daily Report: Engineers Race to Improve the Battery,2014-02-03,article,News,,"['Batteries', 'Computers and the Internet', 'Wearable Computing']"
"Winning Lottery Numbers for Jan. 31, 2014",2014-02-01,article,List,,['Lotteries']
Contraception Case,2014-02-03,article,Letter,,['Birth Control and Family Planning']
"With Fortune Falling, a 1 Percent Divorce",2014-02-01,article,News,,"['Real Estate and Housing (Residential)', 'Real Estate (Commercial)']"
Academy President Defends Ruling on Song,2014-02-02,article,Brief,,"['Movies', 'Academy Awards (Oscars)', 'Ethics (Personal)', 'Religion and Belief', 'Music']"
Be Nice to Your Social Studies Teacher,2014-02-02,article,News,,[]
"Stunned by Tragedy, a Village in Rural Quebec Turns Inward",2014-02-01,article,News,,"['Deaths (Fatalities)', 'Fires and Firefighters']"
"From Handel, Two Martyrs Full of Songs And Virtues",2014-02-03,article,Review,,['Music']
Greece’s Far-Right Party Tries to Evade Government Crackdown With a New Name,2014-02-02,article,News,,['Elections']
Scribbling in the Margins,2014-02-01,article,Op-Ed,,"['Writing and Writers', 'Books and Literature']"
"True South | New Orleans Dining, High and Low",2014-02-01,article,News,,[]
VW Workers in Tennessee to Vote on Union,2014-02-03,article,News,,['Organized Labor']
Officials Scramble to Modify Slopestyle Course After Accident,2014-02-03,article,News,,"['Snowboarding', 'Olympic Games (2014)']"
Israeli Military Strikes Targets in Gaza,2014-02-01,article,Brief,,"['Defense and Military Forces', 'Palestinians']"
India’s 1st Monorail Opens in Mumbai to Much Fanfare and Doubt,2014-02-03,article,News,,"['Buses', 'Indian Rupee (Currency)', 'Infrastructure (Public Works)', 'Roads and Traffic', 'Subways', 'Transit Systems', 'Urban Areas']"
"Chasing Their Star, on YouTube",2014-02-01,article,News,,"['Video Recordings and Downloads', 'ADVERTISING AND MARKETING', 'Online Advertising']"
How to Visit Some of Paris’s Finest Museums but Skip the Crowds,2014-02-01,article,News,,"['Art', 'Museums']"
British Regulator Warns Two of Potential Libor Charges,2014-02-03,article,News,,"['Antitrust Laws and Competition Issues', 'Libor (London Interbank Offered Rate)', 'Regulation and Deregulation of Industry']"
U.S. Player Ratings: Wondolowski and Defense Stand Out,2014-02-03,article,News,,"['Soccer', 'World Cup 2014 (Soccer)']"
Percy Harvin Finally Delivers on Seattle’s Investment,2014-02-03,article,News,,"['Football', 'Super Bowl']"
"Get Some Sleep, and Wake Up the G.D.P.",2014-02-01,article,News,,"['United States Economy', 'Sleep', 'Productivity', 'Gross Domestic Product']"
What Watts and Voltamperes Have,2014-02-01,article,News,,['Crossword Puzzles']
Retailers Ask: Where Did Teenagers Go?,2014-02-01,article,News,,"['Shopping and Retail', 'Teenagers and Adolescence', 'Economic Conditions and Trends', 'Fashion and Apparel']"
Worker Coalitions,2014-02-01,article,Letter,,['Labor and Jobs']
China to Ramp Up Military Spending,2014-02-03,article,News,,"['Aircraft Carriers', 'Defense and Military Forces']"
What’s On Today?,2014-02-02,article,Schedule,,[]
The Super Bowl and Sex Trafficking,2014-02-01,article,Op-Ed,,"['Human Trafficking', 'Football', 'Super Bowl', 'Prostitution']"
"Alive With a New, Old Liver",2014-02-03,article,News,,"['Children and Childhood', 'Liver', 'Transplants']"
